achado;requisito;titulo_historico;avanço_e_pendencia;R5_relacionados;fontes_historicas
F-R3-01;R3-EXE-01;Adapters executáveis e autenticação completa;"rest-json-v1 instalado e teste HTTP independente do simulador; preservar registry e homologar provedores/contratos reais e capacidades por etapa.";;hub/internal/cometa/executor.go,hub/internal/cometa/poller.go,hub/internal/atlasclient/client.go
F-R3-02;R3-EXE-02;Callback com confirmação de custódia;"Rota pública/HMAC/inbox/worker implementados. F-R5-01 demonstra caminho órfão sem verificação prévia; escopo/rotação/retention continuam exigindo prova.";;hub/internal/cometa/handlers.go,hub/internal/cometa/executor.go,hub/cmd/cometa/main.go
F-R3-03;R3-EXE-03;Recuperação de efeito incerto e fencing;"Fencing de submissão e reconciliação por status implementados. UNKNOWN sem correlação não é reenviado; falta reconciliação automática com oráculo por chave quando suportado e fechamento de efeito/financeiro sob crash.";;hub/internal/cometa/custody.go,hub/internal/cometa/executor.go,hub/internal/orbita/intents.go
F-R3-04;R3-EXE-04;Relógios de retry, polling e prazo final;"Polling saudável agora usa StepDeadline; TTL de primeira falha persistido. Barreira retry_until pré-despacho e semântica UI ainda pendentes; T-R2-01 não presumidamente resolvido.";R5-EXE-01;hub/internal/orbita/handlers.go,hub/internal/cometa/polling_custody.go,hub/internal/orbita/finalize.go,docs/reviews/2026-09-07-r2/implementation/ADR_T_R2_01_DEADLINE.md
F-R3-05;R3-EXE-05;Topologia de mensagens e quarentena recuperável;"Worker Cometa/Pulsar conserva quarentena. Libra ainda só hash; startup dos publishers não confirma todas as assinaturas obrigatórias.";R5-DAD-04,R5-EXE-05;hub/internal/queue/bootstrap.go,hub/internal/queue/queue.go,hub/internal/libra/consumers.go,hub/internal/libra/store.go
F-R3-06;R3-CAT-01;Precisão numérica e validação de schemas;Probes JSON anteriores PASS no novo SHA. Não reimplementar TransformJSON. Perda numérica no consumidor de fatos segue em R5-DAD-01.;R5-DAD-01;hub/internal/atlas/offers.go,hub/internal/orbita/handlers.go
F-R3-07;R3-CAT-02;Política efetiva e representação por cliente;Perfil técnico/output mapping/representação e versão solicitada avançaram. Produtos precisam snapshot por etapa e consolidação efetiva, preservar GET/webhook congelados.;R5-EXE-03;hub/internal/orbita/handlers.go,hub/internal/orbita/finalize.go,hub/internal/atlas/offers.go
F-R3-08;R3-CAT-03;Agregação e composição com executor de DAG;Plano/etapas/compensações persistidos e produto HTTP local executados. Concorrência de slots, recuperação pós-RUNNING, rotas por etapa e compensação fora do prazo do cliente são gaps atuais.;R5-EXE-02,R5-EXE-03,R5-EXE-04;hub/internal/orbita/handlers.go,hub/internal/atlas/catalog.go,hub/internal/atlas/offers.go
F-R3-09;R3-CAT-04;Resolução indexada e projeção disponível;Oferta seletiva indexada implementada e cache fallback existe. Fallback em 403 reproduzido e remoto antes do cache mantém custo no caminho quente.;R5-SEG-02;hub/internal/atlas/offers.go,hub/internal/atlasclient/client.go,hub/internal/atlas/catalog.go
F-R3-10;R3-INT-01;Controle adaptativo conectado a todo I/O;Capacidade agora ligada aos transportes e métricas de feedback. Qualificar política obrigatória, settlement recuperável e custo/justiça em escala, sem tratar implementação como ausente.;R5-OPE-01;hub/internal/cometa/capacity.go,hub/internal/cometa/executor.go,hub/internal/cometa/poller.go
F-R3-11;R3-INT-02;Cache de autenticação isolado e sem tokens no Redis;L1 antes do cofre, locks limitados/canceláveis, revogação e mTLS têm código/testes. Probe adaptado PASS. Homologação de rotação multi-réplica/provedor continua gate específico.;;hub/internal/providerauth/client.go
F-R3-12;R3-INT-03;Pools HTTP e budgets de concorrência;Pool de egress por origem implementado. Preservar testes SSRF/mTLS e qualificar budgets end-to-end, memória e concorrência global sob carga real.;R5-OPE-01;hub/internal/platform/egress,hub/internal/cometa/executor.go,hub/internal/cometa/poller.go,hub/internal/providerauth/client.go
F-R3-13;R3-ADM-01;Fronteira administrativa e aplicação;"MFA/papel nominal/escopo e reason auditados em admin; smokes de tenant/application. Adoção RLS e escopo de endpoints auxiliares precisam completar defesa.";R5-SEG-03;hub/internal/orbita/admin.go,hub/internal/platform/auth/auth.go
F-R3-14;R3-ADM-02;Ações operacionais com API efetiva;"OperationsPage corrige delivery ID e APIs de SLA/reconcile existem. Preservar melhorias; evoluir cenários de autorização, conflito, escala e frescor com dados reais.";R5-UX-01;hub/admin-ui/src/pages/OperationsPage.tsx,hub/internal/pulsar/handlers.go,hub/internal/orbita/admin.go
F-R3-15;R3-ADM-03;Comandos financeiros compatíveis;FinancePage corrige tenant/DTO/datas/ator e aprovação distinta. Falta intenção persistida sob duplo timeout/reload, IDs grandes e fechamento ligado a produtores.;R5-UX-01;hub/admin-ui/src/pages/FinancePage.tsx,hub/internal/libra/handlers.go
F-R3-16;R3-ADM-04;Formulários completos e tempo local;Multimodalidade, auth condicional, fuso, importação/simulação e mensagens de erro avançaram. Lookup falha acima de 1000 e DTO runtime ainda genérico.;R5-UX-01;hub/admin-ui/src/pages/CatalogPage.tsx,hub/admin-ui/src
F-R3-17;R3-FIN-01;Reserva estrita e franquia antes do efeito;"Ledger/dedupe e testes UNKNOWN avançaram. Captura não demonstra diferença reserva versus valor efetivo; franquia pré-efeito e compensação exigem prova integral.";R5-DAD-03;hub/internal/libra/store.go,hub/internal/orbita/handlers.go,hub/internal/contracts/economics/publication.go
F-R3-18;R3-FIN-02;Incidência completa e fechamento operacional;"Incidências SUBMITTED/STATUS por attempt implementadas. SetWatermark apenas chamado em teste; faltam fechamento por completude e disputa tardia operacional.";R5-EXE-03,R5-DAD-03;hub/internal/cometa/custody.go,hub/internal/cometa/polling_custody.go,hub/internal/libra/store.go,hub/internal/libra/handlers.go
F-R3-19;R3-FIN-03;Destino de webhook congelado por aplicação;"Destinos congelados no aceite e representação no fato final implementados; preservar igualdade de bytes e isolamento. Requalificar retry/rotação/consumo legado sem destino.";;hub/internal/pulsar/custody.go,hub/internal/orbita/finalize.go,hub/internal/pulsar/handlers.go
F-R3-20;R3-OPE-01;Objetos conectados ao fluxo e retenção;FileRefs enviados ao adapter, resultado volumoso conservado/vinculado e retenção tem worker. Restore versionado/pins e prova produtiva de acesso a bytes externos continuam.;R5-DAD-02;hub/internal/objectstore/catalog.go,hub/internal/objectstore/retention.go,hub/internal/cometa/executor.go,hub/internal/orbita/admission.go
