achado;prioridade;requisito;titulo;herdados;fonte;estado
F-R5-01;P0;R5-SEG-01;Autenticação antes de custódia de callback órfão;R4-CBK-01,R4-CBK-02,R4-CBK-03;[hub/internal/cometa/handlers.go:206](https://github.com/leandroclf/ai-hub/blob/f87ce33034ae29c9431b1910dcc6a633b545e330/hub/internal/cometa/handlers.go#L206), [hub/internal/cometa/custody.go:228](https://github.com/leandroclf/ai-hub/blob/f87ce33034ae29c9431b1910dcc6a633b545e330/hub/internal/cometa/custody.go#L228), [hub/internal/cometa/custody.go:240](https://github.com/leandroclf/ai-hub/blob/f87ce33034ae29c9431b1910dcc6a633b545e330/hub/internal/cometa/custody.go#L240);ABERTO
F-R5-02;P0;R5-SEG-02;Fallback de oferta respeita negação e revogação;R4-OPE-03,R3-CAT-04,R2-SEG-01;[hub/internal/atlasclient/client.go:23](https://github.com/leandroclf/ai-hub/blob/f87ce33034ae29c9431b1910dcc6a633b545e330/hub/internal/atlasclient/client.go#L23), [hub/internal/atlas/offers.go:202](https://github.com/leandroclf/ai-hub/blob/f87ce33034ae29c9431b1910dcc6a633b545e330/hub/internal/atlas/offers.go#L202);ABERTO
F-R5-03;P0;R5-SEG-03;Adoção real de RLS e autorização de dados auxiliares;R3-OPE-04,R3-ADM-01,R2-DAD-05;[hub/internal/platform/pg/pg.go:39](https://github.com/leandroclf/ai-hub/blob/f87ce33034ae29c9431b1910dcc6a633b545e330/hub/internal/platform/pg/pg.go#L39), [hub/deploy/r2/tests/rls-runtime-proof.sh:17](https://github.com/leandroclf/ai-hub/blob/f87ce33034ae29c9431b1910dcc6a633b545e330/hub/deploy/r2/tests/rls-runtime-proof.sh#L17), [hub/migrations/core/0034_runtime_rls_migration_compat.sql:5](https://github.com/leandroclf/ai-hub/blob/f87ce33034ae29c9431b1910dcc6a633b545e330/hub/migrations/core/0034_runtime_rls_migration_compat.sql#L5), [hub/internal/cometa/handlers.go:65](https://github.com/leandroclf/ai-hub/blob/f87ce33034ae29c9431b1910dcc6a633b545e330/hub/internal/cometa/handlers.go#L65);ABERTO
F-R5-04;P0;R5-EXE-01;Horizonte de retry e SLA verificados antes do despacho;R3-EXE-04,R2-EXE-05,R2-EXE-06;[hub/internal/orbita/intents.go:135](https://github.com/leandroclf/ai-hub/blob/f87ce33034ae29c9431b1910dcc6a633b545e330/hub/internal/orbita/intents.go#L135), [hub/internal/orbita/intents.go:255](https://github.com/leandroclf/ai-hub/blob/f87ce33034ae29c9431b1910dcc6a633b545e330/hub/internal/orbita/intents.go#L255), [hub/internal/cometa/polling_custody.go:55](https://github.com/leandroclf/ai-hub/blob/f87ce33034ae29c9431b1910dcc6a633b545e330/hub/internal/cometa/polling_custody.go#L55), [hub/admin-ui/src/pages/CatalogPage.tsx:6](https://github.com/leandroclf/ai-hub/blob/f87ce33034ae29c9431b1910dcc6a633b545e330/hub/admin-ui/src/pages/CatalogPage.tsx#L6);ABERTO
F-R5-05;P0;R5-EXE-02;Limite de execução de produto atômico e retomável;R3-CAT-03,R2-EXE-01,R2-CAT-02;[hub/internal/orbita/intents.go:135](https://github.com/leandroclf/ai-hub/blob/f87ce33034ae29c9431b1910dcc6a633b545e330/hub/internal/orbita/intents.go#L135), [hub/internal/orbita/product_store.go:55](https://github.com/leandroclf/ai-hub/blob/f87ce33034ae29c9431b1910dcc6a633b545e330/hub/internal/orbita/product_store.go#L55), [hub/internal/atlas/executor.go:34](https://github.com/leandroclf/ai-hub/blob/f87ce33034ae29c9431b1910dcc6a633b545e330/hub/internal/atlas/executor.go#L34);ABERTO
F-R5-06;P0;R5-EXE-03;Contrato, provedor e incidência próprios por etapa;R3-CAT-02,R3-CAT-03,R3-FIN-02;[hub/internal/orbita/product_plan.go:42](https://github.com/leandroclf/ai-hub/blob/f87ce33034ae29c9431b1910dcc6a633b545e330/hub/internal/orbita/product_plan.go#L42), [hub/internal/orbita/product_plan.go:77](https://github.com/leandroclf/ai-hub/blob/f87ce33034ae29c9431b1910dcc6a633b545e330/hub/internal/orbita/product_plan.go#L77), [hub/internal/atlas/offers.go:35](https://github.com/leandroclf/ai-hub/blob/f87ce33034ae29c9431b1910dcc6a633b545e330/hub/internal/atlas/offers.go#L35);ABERTO
F-R5-07;P0;R5-EXE-04;Compensação tem ordem causal e prazo próprio;R3-CAT-03,R2-EXE-01;[hub/internal/orbita/product_store.go:221](https://github.com/leandroclf/ai-hub/blob/f87ce33034ae29c9431b1910dcc6a633b545e330/hub/internal/orbita/product_store.go#L221), [hub/internal/orbita/product_plan.go:116](https://github.com/leandroclf/ai-hub/blob/f87ce33034ae29c9431b1910dcc6a633b545e330/hub/internal/orbita/product_plan.go#L116), [hub/internal/orbita/intents.go:48](https://github.com/leandroclf/ai-hub/blob/f87ce33034ae29c9431b1910dcc6a633b545e330/hub/internal/orbita/intents.go#L48);ABERTO
F-R5-08;P0;R5-DAD-01;Precisão do resultado preservada em todas as fronteiras;R4-CTR-01,R4-CTR-02,R3-CAT-01;[hub/internal/orbita/factconsumer.go:25](https://github.com/leandroclf/ai-hub/blob/f87ce33034ae29c9431b1910dcc6a633b545e330/hub/internal/orbita/factconsumer.go#L25), [hub/internal/orbita/factconsumer.go:35](https://github.com/leandroclf/ai-hub/blob/f87ce33034ae29c9431b1910dcc6a633b545e330/hub/internal/orbita/factconsumer.go#L35), [hub/internal/orbita/product_store.go:289](https://github.com/leandroclf/ai-hub/blob/f87ce33034ae29c9431b1910dcc6a633b545e330/hub/internal/orbita/product_store.go#L289), [hub/admin-ui/src/pages/FinancePage.tsx:58](https://github.com/leandroclf/ai-hub/blob/f87ce33034ae29c9431b1910dcc6a633b545e330/hub/admin-ui/src/pages/FinancePage.tsx#L58);ABERTO
F-R5-09;P0;R5-DAD-02;Restore populado e reconciliação antes de retomada;R3-OPE-04,R3-OPE-01,R2-OPE-08;[hub/deploy/r2/tests/restore-reconciliation.sh:57](https://github.com/leandroclf/ai-hub/blob/f87ce33034ae29c9431b1910dcc6a633b545e330/hub/deploy/r2/tests/restore-reconciliation.sh#L57), [hub/deploy/r2/tests/restore-reconciliation.sh:63](https://github.com/leandroclf/ai-hub/blob/f87ce33034ae29c9431b1910dcc6a633b545e330/hub/deploy/r2/tests/restore-reconciliation.sh#L63), [hub/deploy/r2/tests/restore-reconciliation.sh:21](https://github.com/leandroclf/ai-hub/blob/f87ce33034ae29c9431b1910dcc6a633b545e330/hub/deploy/r2/tests/restore-reconciliation.sh#L21);ABERTO
F-R5-10;P0;R5-DAD-03;Liquidação por valor efetivo e completude demonstrável;R3-FIN-01,R3-FIN-02,R2-FIN-03,R2-FIN-05;[hub/internal/libra/store.go:126](https://github.com/leandroclf/ai-hub/blob/f87ce33034ae29c9431b1910dcc6a633b545e330/hub/internal/libra/store.go#L126), [hub/internal/libra/store.go:337](https://github.com/leandroclf/ai-hub/blob/f87ce33034ae29c9431b1910dcc6a633b545e330/hub/internal/libra/store.go#L337), [hub/internal/libra/settlement.go:231](https://github.com/leandroclf/ai-hub/blob/f87ce33034ae29c9431b1910dcc6a633b545e330/hub/internal/libra/settlement.go#L231), [hub/internal/libra/store.go:300](https://github.com/leandroclf/ai-hub/blob/f87ce33034ae29c9431b1910dcc6a633b545e330/hub/internal/libra/store.go#L300);ABERTO
