cenario_id;requisito;origem;titulo_original;spec;linha;status_auditoria;observacao
V4:ARQ-01:S001;ARQ-01;v4;Portal não orquestra nem precifica;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;8;PENDENTE_REQUALIFICACAO;"Identidade de auditoria derivada de requisito+ordem; spec v4 preservada."
V4:ARQ-01:S002;ARQ-01;v4;Órbita delega execução externa a Cometa sem manter segredos;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;13;PENDENTE_REQUALIFICACAO;"Identidade de auditoria derivada de requisito+ordem; spec v4 preservada."
V4:ARQ-01:S003;ARQ-01;v4;Libra não infere consumo apenas de logs nem fatura todo evento técnico;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;18;PENDENTE_REQUALIFICACAO;"Identidade de auditoria derivada de requisito+ordem; spec v4 preservada."
V4:ARQ-01:S004;ARQ-01;v4;Isolamento de adaptador ou temporizador apenas por critério explícito;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;23;PENDENTE_REQUALIFICACAO;"Identidade de auditoria derivada de requisito+ordem; spec v4 preservada."
V4:ARQ-02:S001;ARQ-02;v4;SYNC persiste o fato externo via resposta HTTPS sem depender da fila;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;31;PENDENTE_REQUALIFICACAO;"Identidade de auditoria derivada de requisito+ordem; spec v4 preservada."
V4:ARQ-02:S002;ARQ-02;v4;ASYNC usa fila e mantém os mesmos invariantes com deduplicação de eventos posteriores;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;36;PENDENTE_REQUALIFICACAO;"Identidade de auditoria derivada de requisito+ordem; spec v4 preservada."
V4:ARQ-02:S003;ARQ-02;v4;Cada domínio grava somente seu próprio estado no core compartilhado;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;41;PENDENTE_REQUALIFICACAO;"Identidade de auditoria derivada de requisito+ordem; spec v4 preservada."
V4:ARQ-02:S004;ARQ-02;v4;Tráfego estabelecido não consulta Atlas/Crossplane a cada pedido;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;46;PENDENTE_REQUALIFICACAO;"Identidade de auditoria derivada de requisito+ordem; spec v4 preservada."
V4:ARQ-03:S001;ARQ-03;v4;PostgreSQL é a escolha para o banco transacional por célula;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;54;PENDENTE_REQUALIFICACAO;"Identidade de auditoria derivada de requisito+ordem; spec v4 preservada."
V4:ARQ-03:S002;ARQ-03;v4;SNS + SQS Standard é a escolha para o barramento sem presumir ordem;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;59;PENDENTE_REQUALIFICACAO;"Identidade de auditoria derivada de requisito+ordem; spec v4 preservada."
V4:ARQ-03:S003;ARQ-03;v4;Cache funciona e cumpre o SLO qualificado sem Redis;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;64;PENDENTE_REQUALIFICACAO;"Identidade de auditoria derivada de requisito+ordem; spec v4 preservada."
V4:ARQ-03:S004;ARQ-03;v4;Operar sem serviços AWS exige nova decisão de arquitetura;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;69;PENDENTE_REQUALIFICACAO;"Identidade de auditoria derivada de requisito+ordem; spec v4 preservada."
V4:ARQ-04:S001;ARQ-04;v4;Atlas API usa Go pela uniformidade de toolchain, não pela velocidade de CRUD;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;77;PENDENTE_REQUALIFICACAO;"Identidade de auditoria derivada de requisito+ordem; spec v4 preservada."
V4:ARQ-04:S002;ARQ-04;v4;Espera de rede suportada libera a thread, mas bloqueio evitável no caminho crítico é proibido;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;82;PENDENTE_REQUALIFICACAO;"Identidade de auditoria derivada de requisito+ordem; spec v4 preservada."
V4:ARQ-04:S003;ARQ-04;v4;Interface de Atlas em TypeScript/React não processa pedidos de clientes;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;87;PENDENTE_REQUALIFICACAO;"Identidade de auditoria derivada de requisito+ordem; spec v4 preservada."
V4:ARQ-04:S004;ARQ-04;v4;Comparação de desempenho entre Go e outras linguagens exige equivalência de condições;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;92;PENDENTE_REQUALIFICACAO;"Identidade de auditoria derivada de requisito+ordem; spec v4 preservada."
