requisito;origem;titulo;spec;linha;spec_digest
ARQ-01;v4;Fronteiras;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;5;e630efdfa2c6e92812d1a7dec6efc95a973091b819a39fa646d06f1121bb6a7e
ARQ-02;v4;Topologia de referência;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;28;e630efdfa2c6e92812d1a7dec6efc95a973091b819a39fa646d06f1121bb6a7e
ARQ-03;v4;Escolha tecnológica;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;51;e630efdfa2c6e92812d1a7dec6efc95a973091b819a39fa646d06f1121bb6a7e
ARQ-04;v4;Linguagem e tecnologia por aplicação;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;74;e630efdfa2c6e92812d1a7dec6efc95a973091b819a39fa646d06f1121bb6a7e
ARQ-05;v4;Razões das dependências e revisão de alternativas;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;97;e630efdfa2c6e92812d1a7dec6efc95a973091b819a39fa646d06f1121bb6a7e
ARQ-06;v4;Tecnologias para expansão e continuidade;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;120;e630efdfa2c6e92812d1a7dec6efc95a973091b819a39fa646d06f1121bb6a7e
COM-01;v4;Comunicação interna definida;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;143;e630efdfa2c6e92812d1a7dec6efc95a973091b819a39fa646d06f1121bb6a7e
COM-02;v4;Integração de clientes e provedores;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;166;e630efdfa2c6e92812d1a7dec6efc95a973091b819a39fa646d06f1121bb6a7e
COM-03;v4;Mensagens e idempotência;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;189;e630efdfa2c6e92812d1a7dec6efc95a973091b819a39fa646d06f1121bb6a7e
COM-04;v4;Evolução de contratos;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;212;e630efdfa2c6e92812d1a7dec6efc95a973091b819a39fa646d06f1121bb6a7e
COM-05;v4;Mesmo contrato em GET e webhook;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;235;e630efdfa2c6e92812d1a7dec6efc95a973091b819a39fa646d06f1121bb6a7e
COM-06;v4;Contrato do despacho direto;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;258;e630efdfa2c6e92812d1a7dec6efc95a973091b819a39fa646d06f1121bb6a7e
CAT-01;v4;Catálogo de serviços;openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md;5;fdb68568e124918e01db483588b7e1d2c55263972dbc96d4cf575cf431a95857
CAT-02;v4;Portfólio e disponibilidade;openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md;23;fdb68568e124918e01db483588b7e1d2c55263972dbc96d4cf575cf431a95857
CAT-03;v4;Agregação;openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md;41;fdb68568e124918e01db483588b7e1d2c55263972dbc96d4cf575cf431a95857
CAT-04;v4;Composição;openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md;59;fdb68568e124918e01db483588b7e1d2c55263972dbc96d4cf575cf431a95857
CAT-05;v4;Consolidação e efeitos;openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md;77;fdb68568e124918e01db483588b7e1d2c55263972dbc96d4cf575cf431a95857
CAT-06;v4;Seleção e equivalência de provedores;openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md;95;fdb68568e124918e01db483588b7e1d2c55263972dbc96d4cf575cf431a95857
CAT-07;v4;Política comercial do produto;openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md;113;fdb68568e124918e01db483588b7e1d2c55263972dbc96d4cf575cf431a95857
CAT-08;v4;Rastreabilidade da composição;openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md;131;fdb68568e124918e01db483588b7e1d2c55263972dbc96d4cf575cf431a95857
CAT-09;v4;Contratos técnicos por cliente;openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md;149;fdb68568e124918e01db483588b7e1d2c55263972dbc96d4cf575cf431a95857
CAT-10;v4;Elegibilidade de SLA e capacidade;openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md;172;fdb68568e124918e01db483588b7e1d2c55263972dbc96d4cf575cf431a95857
CAT-11;v4;Crescimento, modalidade e elegibilidade de credencial;openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md;190;fdb68568e124918e01db483588b7e1d2c55263972dbc96d4cf575cf431a95857
CFG-01;v4;Portal e API administrativa;openspec/changes/hub-interoperabilidade-v4/specs/configuracao-e-seguranca/spec.md;5;8b4b82fb1cfb92e2d416f854c1c1a92cc5d472778558405b840f86c150d5ec6e
CFG-02;v4;Publicação governada;openspec/changes/hub-interoperabilidade-v4/specs/configuracao-e-seguranca/spec.md;23;8b4b82fb1cfb92e2d416f854c1c1a92cc5d472778558405b840f86c150d5ec6e
CFG-03;v4;Manutenção e diagnóstico;openspec/changes/hub-interoperabilidade-v4/specs/configuracao-e-seguranca/spec.md;46;8b4b82fb1cfb92e2d416f854c1c1a92cc5d472778558405b840f86c150d5ec6e
SEG-01;v4;Identidade e autorização;openspec/changes/hub-interoperabilidade-v4/specs/configuracao-e-seguranca/spec.md;64;8b4b82fb1cfb92e2d416f854c1c1a92cc5d472778558405b840f86c150d5ec6e
SEG-02;v4;Destinos, callbacks e dados;openspec/changes/hub-interoperabilidade-v4/specs/configuracao-e-seguranca/spec.md;82;8b4b82fb1cfb92e2d416f854c1c1a92cc5d472778558405b840f86c150d5ec6e
SEG-03;v4;Isolamento e auditoria;openspec/changes/hub-interoperabilidade-v4/specs/configuracao-e-seguranca/spec.md;105;8b4b82fb1cfb92e2d416f854c1c1a92cc5d472778558405b840f86c150d5ec6e
CFG-04;v4;Configuração dos novos limites;openspec/changes/hub-interoperabilidade-v4/specs/configuracao-e-seguranca/spec.md;123;8b4b82fb1cfb92e2d416f854c1c1a92cc5d472778558405b840f86c150d5ec6e
SEG-04;v4;Administração entre tenants para desenvolvedores;openspec/changes/hub-interoperabilidade-v4/specs/configuracao-e-seguranca/spec.md;146;8b4b82fb1cfb92e2d416f854c1c1a92cc5d472778558405b840f86c150d5ec6e
CFG-05;v4;Gestão de credenciais Hub–cliente–provedor;openspec/changes/hub-interoperabilidade-v4/specs/configuracao-e-seguranca/spec.md;174;8b4b82fb1cfb92e2d416f854c1c1a92cc5d472778558405b840f86c150d5ec6e
CFG-06;v4;Onboarding e capacidade como serviço interno;openspec/changes/hub-interoperabilidade-v4/specs/configuracao-e-seguranca/spec.md;197;8b4b82fb1cfb92e2d416f854c1c1a92cc5d472778558405b840f86c150d5ec6e
SEG-05;v4;Resolução, rotação e isolamento de segredo;openspec/changes/hub-interoperabilidade-v4/specs/configuracao-e-seguranca/spec.md;220;8b4b82fb1cfb92e2d416f854c1c1a92cc5d472778558405b840f86c150d5ec6e
FIN-01;v4;Contrato de aquisição;openspec/changes/hub-interoperabilidade-v4/specs/contratos-e-financeiro/spec.md;5;679a68e9472213b5e81f25732414cbe74aef95299a8a69278bce6d608a2eb6d4
FIN-02;v4;Contrato de venda e planos;openspec/changes/hub-interoperabilidade-v4/specs/contratos-e-financeiro/spec.md;28;679a68e9472213b5e81f25732414cbe74aef95299a8a69278bce6d608a2eb6d4
FIN-03;v4;Vigência e snapshot;openspec/changes/hub-interoperabilidade-v4/specs/contratos-e-financeiro/spec.md;51;679a68e9472213b5e81f25732414cbe74aef95299a8a69278bce6d608a2eb6d4
