achado;requisito;prioridade;change;herdados;fontes;cenarios;tarefas;responsavel;status
F-R3-01;R3-EXE-01;P0;r3-01-custodia-e-integracao-externa;R2-INT-01,R2-INT-02,R2-ADM-04;"hub/internal/cometa/executor.go;hub/internal/cometa/poller.go;hub/internal/atlasclient/client.go";R3-EXE-01-S01,R3-EXE-01-S02,R3-EXE-01-S03;2.1/.2/.3;Core e Integrações;ABERTO
F-R3-02;R3-EXE-02;P0;r3-01-custodia-e-integracao-externa;R2-SEG-04,R2-EXE-04,R2-EXE-05,R2-INT-04;"hub/internal/cometa/handlers.go;hub/internal/cometa/executor.go;hub/cmd/cometa/main.go";R3-EXE-02-S01,R3-EXE-02-S02,R3-EXE-02-S03;3.1/.2/.3;Core e Integrações;ABERTO
F-R3-03;R3-EXE-03;P0;r3-01-custodia-e-integracao-externa;R2-EXE-03,R2-EXE-09,R2-INT-05;"hub/internal/cometa/custody.go;hub/internal/cometa/executor.go;hub/internal/orbita/intents.go";R3-EXE-03-S01,R3-EXE-03-S02,R3-EXE-03-S03;4.1/.2/.3;Core e Integrações;ABERTO
F-R3-04;R3-EXE-04;P0;r3-01-custodia-e-integracao-externa;R2-EXE-06,R2-INT-04,R2-INT-05,R2-INT-08;"hub/internal/orbita/handlers.go;hub/internal/cometa/polling_custody.go;hub/internal/orbita/finalize.go;docs/reviews/2026-09-07-r2/implementation/ADR_T_R2_01_DEADLINE.md";R3-EXE-04-S01,R3-EXE-04-S02,R3-EXE-04-S03;5.1/.2/.3;Core e Integrações;ABERTO
F-R3-05;R3-EXE-05;P0;r3-01-custodia-e-integracao-externa;R2-EXE-05,R2-QUA-02;"hub/internal/queue/bootstrap.go;hub/internal/queue/queue.go;hub/internal/libra/consumers.go;hub/internal/libra/store.go";R3-EXE-05-S01,R3-EXE-05-S02,R3-EXE-05-S03;6.1/.2/.3;Core e Integrações;ABERTO
F-R3-06;R3-CAT-01;P0;r3-02-portfolio-e-contratos-efetivos;R2-CAT-05,R2-EXE-04;"hub/internal/atlas/offers.go;hub/internal/orbita/handlers.go";R3-CAT-01-S01,R3-CAT-01-S02,R3-CAT-01-S03;2.1/.2/.3;Produto e Core;ABERTO
F-R3-07;R3-CAT-02;P1;r3-02-portfolio-e-contratos-efetivos;R2-CAT-02,R2-CAT-05,R2-CAT-06,R2-EXE-08;"hub/internal/orbita/handlers.go;hub/internal/orbita/finalize.go;hub/internal/atlas/offers.go";R3-CAT-02-S01,R3-CAT-02-S02,R3-CAT-02-S03;3.1/.2/.3;Produto e Core;ABERTO
F-R3-08;R3-CAT-03;P1;r3-02-portfolio-e-contratos-efetivos;R2-CAT-03,R2-CAT-04,R2-ADM-05;"hub/internal/orbita/handlers.go;hub/internal/atlas/catalog.go;hub/internal/atlas/offers.go";R3-CAT-03-S01,R3-CAT-03-S02,R3-CAT-03-S03;4.1/.2/.3;Produto e Core;ABERTO
F-R3-09;R3-CAT-04;P1;r3-02-portfolio-e-contratos-efetivos;R2-CAT-06,R2-CAT-08,R2-OPE-06;"hub/internal/atlas/offers.go;hub/internal/atlasclient/client.go;hub/internal/atlas/catalog.go";R3-CAT-04-S01,R3-CAT-04-S02,R3-CAT-04-S03;5.1/.2/.3;Produto e Core;ABERTO
F-R3-10;R3-INT-01;P1;r3-03-capacidade-credenciais-e-latencia;R2-INT-06,R2-OPE-09;"hub/internal/cometa/capacity.go;hub/internal/cometa/executor.go;hub/internal/cometa/poller.go";R3-INT-01-S01,R3-INT-01-S02,R3-INT-01-S03;2.1/.2/.3;Integrações e Plataforma;ABERTO
F-R3-11;R3-INT-02;P1;r3-03-capacidade-credenciais-e-latencia;R2-INT-02,R2-INT-03,R2-OPE-06;hub/internal/providerauth/client.go;R3-INT-02-S01,R3-INT-02-S02,R3-INT-02-S03;3.1/.2/.3;Integrações e Plataforma;ABERTO
F-R3-12;R3-INT-03;P1;r3-03-capacidade-credenciais-e-latencia;R2-INT-06,R2-OPE-09;"hub/internal/platform/egress;hub/internal/cometa/executor.go;hub/internal/cometa/poller.go;hub/internal/providerauth/client.go";R3-INT-03-S01,R3-INT-03-S02,R3-INT-03-S03;4.1/.2/.3;Integrações e Plataforma;ABERTO
F-R3-13;R3-ADM-01;P0;r3-04-console-e-autorizacao;R2-SEG-01,R2-SEG-03,R2-ADM-01;"hub/internal/orbita/admin.go;hub/internal/platform/auth/auth.go";R3-ADM-01-S01,R3-ADM-01-S02,R3-ADM-01-S03;2.1/.2/.3;Frontend e Segurança;ABERTO
F-R3-14;R3-ADM-02;P1;r3-04-console-e-autorizacao;R2-ADM-08,R2-ADM-09,R2-ADM-10;"hub/admin-ui/src/pages/OperationsPage.tsx;hub/internal/pulsar/handlers.go;hub/internal/orbita/admin.go";R3-ADM-02-S01,R3-ADM-02-S02,R3-ADM-02-S03;3.1/.2/.3;Frontend e Segurança;ABERTO
F-R3-15;R3-ADM-03;P1;r3-04-console-e-autorizacao;R2-ADM-11,R2-FIN-05,R2-FIN-06;"hub/admin-ui/src/pages/FinancePage.tsx;hub/internal/libra/handlers.go";R3-ADM-03-S01,R3-ADM-03-S02,R3-ADM-03-S03;4.1/.2/.3;Frontend e Segurança;ABERTO
F-R3-16;R3-ADM-04;P1;r3-04-console-e-autorizacao;R2-ADM-02,R2-ADM-03,R2-ADM-06,R2-ADM-07,R2-ADM-12;"hub/admin-ui/src/pages/CatalogPage.tsx;hub/admin-ui/src";R3-ADM-04-S01,R3-ADM-04-S02,R3-ADM-04-S03;5.1/.2/.3;Frontend e Segurança;ABERTO
F-R3-17;R3-FIN-01;P0;r3-05-financeiro-e-entregas;R2-FIN-03,R2-FIN-04;"hub/internal/libra/store.go;hub/internal/orbita/handlers.go;hub/internal/contracts/economics/publication.go";R3-FIN-01-S01,R3-FIN-01-S02,R3-FIN-01-S03;2.1/.2/.3;Financeiro e Core;ABERTO
F-R3-18;R3-FIN-02;P1;r3-05-financeiro-e-entregas;R2-FIN-01,R2-FIN-02,R2-FIN-06;"hub/internal/cometa/custody.go;hub/internal/cometa/polling_custody.go;hub/internal/libra/store.go;hub/internal/libra/handlers.go";R3-FIN-02-S01,R3-FIN-02-S02,R3-FIN-02-S03;3.1/.2/.3;Financeiro e Core;ABERTO
F-R3-19;R3-FIN-03;P1;r3-05-financeiro-e-entregas;R2-INT-07,R2-EXE-08,R2-ADM-09;"hub/internal/pulsar/custody.go;hub/internal/orbita/finalize.go;hub/internal/pulsar/handlers.go";R3-FIN-03-S01,R3-FIN-03-S02,R3-FIN-03-S03;4.1/.2/.3;Financeiro e Core;ABERTO
F-R3-20;R3-OPE-01;P1;r3-06-dados-plataforma-e-continuidade;R2-DAD-01,R2-DAD-02,R2-DAD-03;"hub/internal/objectstore/catalog.go;hub/internal/objectstore/retention.go;hub/internal/cometa/executor.go;hub/internal/orbita/admission.go";R3-OPE-01-S01,R3-OPE-01-S02,R3-OPE-01-S03;2.1/.2/.3;Plataforma, Dados e SRE;ABERTO
F-R3-21;R3-OPE-02;P1;r3-06-dados-plataforma-e-continuidade;R2-OPE-01,R2-OPE-02,R2-OPE-08;"hub/deploy/r2/kind/render-runtime.py;hub/deploy/r2/k8s/base/workloads.yaml;hub/deploy/r2/k8s/overlays/prd/kustomization.yaml";R3-OPE-02-S01,R3-OPE-02-S02,R3-OPE-02-S03;3.1/.2/.3;Plataforma, Dados e SRE;ABERTO
F-R3-22;R3-OPE-03;P1;r3-06-dados-plataforma-e-continuidade;R2-OPE-03,R2-OPE-04,R2-OPE-05,R2-OPE-09;"hub/deploy/r2/k8s/base/workloads.yaml;hub/internal/platform/httpserver";R3-OPE-03-S01,R3-OPE-03-S02,R3-OPE-03-S03;4.1/.2/.3;Plataforma, Dados e SRE;ABERTO
F-R3-23;R3-OPE-04;P0;r3-06-dados-plataforma-e-continuidade;R2-DAD-04,R2-DAD-05,R2-OPE-06;"hub/migrations/core;hub/migrations/control;hub/internal/platform/pg;hub/internal/orbita/admission.go";R3-OPE-04-S01,R3-OPE-04-S02,R3-OPE-04-S03;5.1/.2/.3;Plataforma, Dados e SRE;ABERTO
F-R3-24;R3-OPE-05;P1;r3-06-dados-plataforma-e-continuidade;R2-OPE-07,R2-INT-08,R2-ADM-10;"hub/internal/platform/httpserver/telemetry.go;hub/admin-ui/src/pages/OperationsPage.tsx;hub/deploy/r2";R3-OPE-05-S01,R3-OPE-05-S02,R3-OPE-05-S03;6.1/.2/.3;Plataforma, Dados e SRE;ABERTO
F-R3-25;R3-QUA-01;P1;r3-07-qualificacao-integral;R2-QUA-01,R2-QUA-02,R2-QUA-03,R2-QUA-04;"hub/internal/atlas/catalog_test.go;hub/internal/cometa/custody_test.go;docs/reviews/2026-09-07-r2/implementation/FINAL_REPORT.md";R3-QUA-01-S01,R3-QUA-01-S02,R3-QUA-01-S03;2.1/.2/.3;Engenharia e Qualidade;ABERTO
