cenario;requisito;titulo;comando;ambiente;resultado;evidencia;observacao
R2-SEG-01-S01;R2-SEG-01;Cliente autorizado;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-SEG-01-S02;R2-SEG-01;Tentativa entre tenants;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-SEG-01-S03;R2-SEG-01;Token inválido;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-SEG-02-S01;R2-SEG-02;Chamada interna permitida;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-SEG-02-S02;R2-SEG-02;Bypass pela porta interna;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-SEG-02-S03;R2-SEG-02;Pool reutilizado;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-SEG-03-S01;R2-SEG-03;Diagnóstico de desenvolvedor;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-SEG-03-S02;R2-SEG-03;Sem elevação implícita;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-SEG-03-S03;R2-SEG-03;Auditoria indisponível;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-SEG-04-S01;R2-SEG-04;Destino homologado;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-SEG-04-S02;R2-SEG-04;SSRF e rebinding;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-SEG-04-S03;R2-SEG-04;Rede privada legítima;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-SEG-05-S01;R2-SEG-05;Alteração atribuível;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-SEG-05-S02;R2-SEG-05;Sessão termina;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-SEG-05-S03;R2-SEG-05;Falha de backend;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-EXE-01-S01;R2-EXE-01;Crash após aceite;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-EXE-01-S02;R2-EXE-01;Broker indisponível;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-EXE-01-S03;R2-EXE-01;Commit incerto;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-EXE-02-S01;R2-EXE-02;Concorrência real;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-EXE-02-S02;R2-EXE-02;Chave divergente;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-EXE-02-S03;R2-EXE-02;Erro após aceite;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-EXE-03-S01;R2-EXE-03;Dois executores;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-EXE-03-S02;R2-EXE-03;Crash após envio;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-EXE-03-S03;R2-EXE-03;Fencing antigo;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-EXE-04-S01;R2-EXE-04;Conteúdo real;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-EXE-04-S02;R2-EXE-04;Resposta inválida;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-EXE-04-S03;R2-EXE-04;Commit falha;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-EXE-05-S01;R2-EXE-05;Efeito falha;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-EXE-05-S02;R2-EXE-05;Reentrega após commit;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-EXE-05-S03;R2-EXE-05;Schema desconhecido;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-EXE-06-S01;R2-EXE-06;Timer atrasado;pendente;não executado;PENDENTE;NAO_EXECUTADO;
R2-EXE-06-S02;R2-EXE-06;Commit cruza o limite;pendente;não executado;PENDENTE;NAO_EXECUTADO;
