requisito_id;titulo;arquivo;responsavel;prioridade;cenario_id;cenario;resultado_esperado;evidencia_exigida;status;revisao_documental
CAT-01;Catálogo de serviços;01_DOMINIO_E_PORTFOLIO.md;Atlas / Produto;OBRIGATORIO;CT-CAT-01;"Serviço com schema publicado; enviar input incompatível.";Recusar antes de chamar provedor e manter a versão histórica.;Resposta, contador externo e registro de catálogo.;NÃO EXECUTADO;REVISADO V4
CAT-02;Portfólio e disponibilidade;01_DOMINIO_E_PORTFOLIO.md;Atlas / Produto;OBRIGATORIO;CT-CAT-02;"Oferta publicada; cliente autenticado sem contrato elegível.";Negar consumo sem revelar ofertas de outro tenant.;Decisão de autorização e consulta de portfólio.;NÃO EXECUTADO;REVISADO V4
CAT-03;Agregação;01_DOMINIO_E_PORTFOLIO.md;Órbita / Produto;OBRIGATORIO;CT-CAT-03;"Agregação com dois opcionais; um opcional falha e obrigatório conclui.";"Estado e partes seguem política publicada; ausência aparece explicitamente.";Resultado canônico comparado ao contrato.;NÃO EXECUTADO;REVISADO V4
CAT-04;Composição;01_DOMINIO_E_PORTFOLIO.md;Órbita / Produto;OBRIGATORIO;CT-CAT-04;Publicar composição com ciclo e depois com tipos incompatíveis.;"Bloquear ambas; aceitar apenas grafo válido e limitado.";Relatório de validação e versão publicada.;NÃO EXECUTADO;REVISADO V4
CAT-05;Consolidação e efeitos;01_DOMINIO_E_PORTFOLIO.md;Órbita / Produto;OBRIGATORIO;CT-CAT-05;Concluir quórum com operação opcional irreversível em voo.;Finalizar conforme política sem apagar efeito ou custo pendente.;Linha do tempo, operação e política de compensação.;NÃO EXECUTADO;REVISADO V4
CAT-06;Seleção e equivalência de provedores;01_DOMINIO_E_PORTFOLIO.md;Órbita / Integrações;OBRIGATORIO;CT-CAT-06;"Rota com dois provedores; o preferido é inelegível por região.";"Selecionar apenas elegível e registrar razão; incerteza não libera duplicação.";Decisão de rota e inventário de chamadas.;NÃO EXECUTADO;REVISADO V4
CAT-07;Política comercial do produto;01_DOMINIO_E_PORTFOLIO.md;Atlas / Comercial;OBRIGATORIO;CT-CAT-07;"Produto por pacote com três passos; concluir e repetir eventos.";Uma unidade de receita de pacote e custos segregados por operação.;Memória de cálculo e ledger.;NÃO EXECUTADO;REVISADO V4
CAT-08;Rastreabilidade da composição;01_DOMINIO_E_PORTFOLIO.md;Órbita / QA;OBRIGATORIO;CT-CAT-08;Dois ramos referenciam passo compartilhado autorizado.;"Uma execução lógica; resultado aponta contribuições e transformações.";Grafo, passos, operações e resultado.;NÃO EXECUTADO;REVISADO V4
CAT-09;Contratos técnicos por cliente;01_DOMINIO_E_PORTFOLIO.md;Atlas / Produto;OBRIGATORIO;CT-CAT-09;Dois clientes usam entrada e saída legadas diferentes para o mesmo produto.;"Traduzir para o canônico e materializar saída por cliente/versão; não aceitar contrato de outro tenant.";Schemas, exemplos homologados, input canônico e hashes finais.;NÃO EXECUTADO;REVISADO V4
CAT-10;Elegibilidade de SLA e capacidade;01_DOMINIO_E_PORTFOLIO.md;Produto / Arquitetura;OBRIGATORIO;CT-CAT-10;Publicar produto cujo caminho crítico e polling excedem o SLA do cliente.;"Recusar publicação contraditória; classe de isolamento e budgets ficam explícitos.";Validação de prazo/capacidade e versão da oferta.;NÃO EXECUTADO;REVISADO V4
