scenario_key,scenario_id,change,requirement_id,requirement_title,scenario_title,status,evidence,spec,line,source_digest
hub-interoperabilidade-v4:ARQ-01:S001,ARQ-01:S001,hub-interoperabilidade-v4,ARQ-01,Fronteiras,Portal não orquestra nem precifica,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,8,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:ARQ-01:S002,ARQ-01:S002,hub-interoperabilidade-v4,ARQ-01,Fronteiras,Órbita delega execução externa a Cometa sem manter segredos,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,13,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:ARQ-01:S003,ARQ-01:S003,hub-interoperabilidade-v4,ARQ-01,Fronteiras,Libra não infere consumo apenas de logs nem fatura todo evento técnico,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,18,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:ARQ-01:S004,ARQ-01:S004,hub-interoperabilidade-v4,ARQ-01,Fronteiras,Isolamento de adaptador ou temporizador apenas por critério explícito,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,23,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:ARQ-02:S001,ARQ-02:S001,hub-interoperabilidade-v4,ARQ-02,Topologia de referência,SYNC persiste o fato externo via resposta HTTPS sem depender da fila,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,31,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:ARQ-02:S002,ARQ-02:S002,hub-interoperabilidade-v4,ARQ-02,Topologia de referência,ASYNC usa fila e mantém os mesmos invariantes com deduplicação de eventos posteriores,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,36,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:ARQ-02:S003,ARQ-02:S003,hub-interoperabilidade-v4,ARQ-02,Topologia de referência,Cada domínio grava somente seu próprio estado no core compartilhado,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,41,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:ARQ-02:S004,ARQ-02:S004,hub-interoperabilidade-v4,ARQ-02,Topologia de referência,Tráfego estabelecido não consulta Atlas/Crossplane a cada pedido,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,46,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:ARQ-03:S001,ARQ-03:S001,hub-interoperabilidade-v4,ARQ-03,Escolha tecnológica,PostgreSQL é a escolha para o banco transacional por célula,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,54,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:ARQ-03:S002,ARQ-03:S002,hub-interoperabilidade-v4,ARQ-03,Escolha tecnológica,SNS + SQS Standard é a escolha para o barramento sem presumir ordem,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,59,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:ARQ-03:S003,ARQ-03:S003,hub-interoperabilidade-v4,ARQ-03,Escolha tecnológica,Cache funciona e cumpre o SLO qualificado sem Redis,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,64,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:ARQ-03:S004,ARQ-03:S004,hub-interoperabilidade-v4,ARQ-03,Escolha tecnológica,Operar sem serviços AWS exige nova decisão de arquitetura,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,69,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:ARQ-04:S001,ARQ-04:S001,hub-interoperabilidade-v4,ARQ-04,Linguagem e tecnologia por aplicação,"Atlas API usa Go pela uniformidade de toolchain, não pela velocidade de CRUD",NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,77,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:ARQ-04:S002,ARQ-04:S002,hub-interoperabilidade-v4,ARQ-04,Linguagem e tecnologia por aplicação,"Espera de rede suportada libera a thread, mas bloqueio evitável no caminho crítico é proibido",NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,82,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:ARQ-04:S003,ARQ-04:S003,hub-interoperabilidade-v4,ARQ-04,Linguagem e tecnologia por aplicação,Interface de Atlas em TypeScript/React não processa pedidos de clientes,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,87,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:ARQ-04:S004,ARQ-04:S004,hub-interoperabilidade-v4,ARQ-04,Linguagem e tecnologia por aplicação,Comparação de desempenho entre Go e outras linguagens exige equivalência de condições,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,92,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:ARQ-05:S001,ARQ-05:S001,hub-interoperabilidade-v4,ARQ-05,Razões das dependências e revisão de alternativas,PostgreSQL compartilhado entre células é separado por célula,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,100,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:ARQ-05:S002,ARQ-05:S002,hub-interoperabilidade-v4,ARQ-05,Razões das dependências e revisão de alternativas,"Dependência de produção exige versão fixada, plano de atualização, licença e proprietário",NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,105,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:ARQ-05:S003,ARQ-05:S003,hub-interoperabilidade-v4,ARQ-05,Razões das dependências e revisão de alternativas,Mesh ou Envoy não são adotados automaticamente para o controle adaptativo do Cometa,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,110,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:ARQ-05:S004,ARQ-05:S004,hub-interoperabilidade-v4,ARQ-05,Razões das dependências e revisão de alternativas,Traces do OpenTelemetry/Tempo não servem como fonte contábil ou única evidência de SLA,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,115,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:ARQ-06:S001,ARQ-06:S001,hub-interoperabilidade-v4,ARQ-06,Tecnologias para expansão e continuidade,KEDA é o único proprietário do HPA de um Deployment de worker,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,123,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:ARQ-06:S002,ARQ-06:S002,hub-interoperabilidade-v4,ARQ-06,Tecnologias para expansão e continuidade,Crossplane reconcilia recursos mas não decide quando expandir,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,128,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:ARQ-06:S003,ARQ-06:S003,hub-interoperabilidade-v4,ARQ-06,Tecnologias para expansão e continuidade,Redução de pods ou nós não apaga dados protegidos,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,133,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:ARQ-06:S004,ARQ-06:S004,hub-interoperabilidade-v4,ARQ-06,Tecnologias para expansão e continuidade,Perda do plano de gestão impede novas expansões mas não desliga células prontas,NAO_QUALIFICADO_NESTA_RODADA,sem execução/evidência vinculada nesta rodada,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,138,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
