requisito;titulo;origem;spec;linha;r4_diretos;status
ARQ-01;Fronteiras;v4;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;5;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
ARQ-02;Topologia de referência;v4;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;28;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
ARQ-03;Escolha tecnológica;v4;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;51;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
ARQ-04;Linguagem e tecnologia por aplicação;v4;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;74;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
ARQ-05;Razões das dependências e revisão de alternativas;v4;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;97;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
ARQ-06;Tecnologias para expansão e continuidade;v4;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;120;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
COM-01;Comunicação interna definida;v4;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;143;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
COM-02;Integração de clientes e provedores;v4;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;166;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
COM-03;Mensagens e idempotência;v4;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;189;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
COM-04;Evolução de contratos;v4;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;212;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
COM-05;Mesmo contrato em GET e webhook;v4;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;235;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
COM-06;Contrato do despacho direto;v4;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;258;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
CAT-01;Catálogo de serviços;v4;openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md;5;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
CAT-02;Portfólio e disponibilidade;v4;openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md;23;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
CAT-03;Agregação;v4;openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md;41;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
CAT-04;Composição;v4;openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md;59;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
CAT-05;Consolidação e efeitos;v4;openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md;77;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
CAT-06;Seleção e equivalência de provedores;v4;openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md;95;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
CAT-07;Política comercial do produto;v4;openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md;113;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
CAT-08;Rastreabilidade da composição;v4;openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md;131;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
CAT-09;Contratos técnicos por cliente;v4;openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md;149;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
CAT-10;Elegibilidade de SLA e capacidade;v4;openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md;172;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
CAT-11;Crescimento, modalidade e elegibilidade de credencial;v4;openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md;190;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
CFG-01;Portal e API administrativa;v4;openspec/changes/hub-interoperabilidade-v4/specs/configuracao-e-seguranca/spec.md;5;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
CFG-02;Publicação governada;v4;openspec/changes/hub-interoperabilidade-v4/specs/configuracao-e-seguranca/spec.md;23;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
CFG-03;Manutenção e diagnóstico;v4;openspec/changes/hub-interoperabilidade-v4/specs/configuracao-e-seguranca/spec.md;46;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
SEG-01;Identidade e autorização;v4;openspec/changes/hub-interoperabilidade-v4/specs/configuracao-e-seguranca/spec.md;64;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
SEG-02;Destinos, callbacks e dados;v4;openspec/changes/hub-interoperabilidade-v4/specs/configuracao-e-seguranca/spec.md;82;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
SEG-03;Isolamento e auditoria;v4;openspec/changes/hub-interoperabilidade-v4/specs/configuracao-e-seguranca/spec.md;105;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
CFG-04;Configuração dos novos limites;v4;openspec/changes/hub-interoperabilidade-v4/specs/configuracao-e-seguranca/spec.md;123;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
SEG-04;Administração entre tenants para desenvolvedores;v4;openspec/changes/hub-interoperabilidade-v4/specs/configuracao-e-seguranca/spec.md;146;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
CFG-05;Gestão de credenciais Hub–cliente–provedor;v4;openspec/changes/hub-interoperabilidade-v4/specs/configuracao-e-seguranca/spec.md;174;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
CFG-06;Onboarding e capacidade como serviço interno;v4;openspec/changes/hub-interoperabilidade-v4/specs/configuracao-e-seguranca/spec.md;197;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
SEG-05;Resolução, rotação e isolamento de segredo;v4;openspec/changes/hub-interoperabilidade-v4/specs/configuracao-e-seguranca/spec.md;220;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
FIN-01;Contrato de aquisição;v4;openspec/changes/hub-interoperabilidade-v4/specs/contratos-e-financeiro/spec.md;5;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
FIN-02;Contrato de venda e planos;v4;openspec/changes/hub-interoperabilidade-v4/specs/contratos-e-financeiro/spec.md;28;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
FIN-03;Vigência e snapshot;v4;openspec/changes/hub-interoperabilidade-v4/specs/contratos-e-financeiro/spec.md;51;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
FIN-04;Medição e chaves econômicas;v4;openspec/changes/hub-interoperabilidade-v4/specs/contratos-e-financeiro/spec.md;84;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
FIN-05;Matriz de incidência;v4;openspec/changes/hub-interoperabilidade-v4/specs/contratos-e-financeiro/spec.md;107;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
FIN-06;Reserva de saldo e limites;v4;openspec/changes/hub-interoperabilidade-v4/specs/contratos-e-financeiro/spec.md;180;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
FIN-07;Apuração e ledger;v4;openspec/changes/hub-interoperabilidade-v4/specs/contratos-e-financeiro/spec.md;208;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
FIN-08;Fechamento, conciliação e pagamento;v4;openspec/changes/hub-interoperabilidade-v4/specs/contratos-e-financeiro/spec.md;236;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
FIN-09;Exemplos de referência para QA;v4;openspec/changes/hub-interoperabilidade-v4/specs/contratos-e-financeiro/spec.md;264;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
FIN-10;Quebra de SLA, custo tardio e créditos;v4;openspec/changes/hub-interoperabilidade-v4/specs/contratos-e-financeiro/spec.md;297;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
