id;titulo;origem;status_auditoria;achados_r3;requisitos_r3;spec_origem;tarefas_herdadas;criterio
ARQ-01;Fronteiras;v4;PARCIAL_COM_LACUNA_R3;F-R3-21;R3-OPE-02;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;hub-interoperabilidade-v4/tasks.md;"Executar cenários originais completos; ausência de novo achado não é conformidade."
ARQ-02;Topologia de referência;v4;PARCIAL_COM_LACUNA_R3;F-R3-07,F-R3-09,F-R3-11,F-R3-23;R3-CAT-02,R3-CAT-04,R3-INT-02,R3-OPE-04;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;hub-interoperabilidade-v4/tasks.md;"Executar cenários originais completos; ausência de novo achado não é conformidade."
ARQ-03;Escolha tecnológica;v4;PARCIAL_COM_LACUNA_R3;F-R3-11;R3-INT-02;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;hub-interoperabilidade-v4/tasks.md;"Executar cenários originais completos; ausência de novo achado não é conformidade."
ARQ-04;Linguagem e tecnologia por aplicação;v4;PARCIAL_COM_LACUNA_R3;F-R3-25;R3-QUA-01;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;hub-interoperabilidade-v4/tasks.md;"Executar cenários originais completos; ausência de novo achado não é conformidade."
ARQ-05;Razões das dependências e revisão de alternativas;v4;PARCIAL_COM_LACUNA_R3;F-R3-21;R3-OPE-02;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;hub-interoperabilidade-v4/tasks.md;"Executar cenários originais completos; ausência de novo achado não é conformidade."
ARQ-06;Tecnologias para expansão e continuidade;v4;PARCIAL_COM_LACUNA_R3;F-R3-21,F-R3-22;R3-OPE-02,R3-OPE-03;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;hub-interoperabilidade-v4/tasks.md;"Executar cenários originais completos; ausência de novo achado não é conformidade."
COM-01;Comunicação interna definida;v4;REQUALIFICACAO_INTEGRAL_PENDENTE;;;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;hub-interoperabilidade-v4/tasks.md;"Executar cenários originais completos; ausência de novo achado não é conformidade."
COM-02;Integração de clientes e provedores;v4;PARCIAL_COM_LACUNA_R3;F-R3-01,F-R3-02,F-R3-06,F-R3-07,F-R3-20;R3-EXE-01,R3-EXE-02,R3-CAT-01,R3-CAT-02,R3-OPE-01;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;hub-interoperabilidade-v4/tasks.md;"Executar cenários originais completos; ausência de novo achado não é conformidade."
COM-03;Mensagens e idempotência;v4;PARCIAL_COM_LACUNA_R3;F-R3-02,F-R3-05;R3-EXE-02,R3-EXE-05;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;hub-interoperabilidade-v4/tasks.md;"Executar cenários originais completos; ausência de novo achado não é conformidade."
COM-04;Evolução de contratos;v4;PARCIAL_COM_LACUNA_R3;F-R3-02,F-R3-05,F-R3-06,F-R3-07,F-R3-19,F-R3-25;R3-EXE-02,R3-EXE-05,R3-CAT-01,R3-CAT-02,R3-FIN-03,R3-QUA-01;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;hub-interoperabilidade-v4/tasks.md;"Executar cenários originais completos; ausência de novo achado não é conformidade."
