id;prioridade;titulo;observado;risco;prova_exigida;evidencia;change;baseline
F-01;P0;Identidade do cliente controlada pelo próprio chamador;POST e GET confiam em X-Tenant-Id. O gateway declara autenticação como placeholder. O filtro SQL por tenant existe, mas sua identidade não é autenticada.;"Um chamador que indique outro tenant pode atravessar a barreira de autorização; UUID não é controle de acesso.";"Token do cliente A com header, corpo, URL ou cursor do cliente B não permite consultar nem executar em nome de B; chamadas sem identidade são negadas.";"hub/internal/orbita/handlers.go:95;hub/internal/orbita/handlers.go:279;hub/deploy/kong/kong.yml:4";r2-01-identidade-e-isolamento;"SEG-01;SEG-03;EXE-07;EXE-16"
F-02;P0;APIs internas e administrativas sem identidade de workload;"A consulta interna usa GetByID sem tenant; Atlas, Cometa, Pulsar e Libra não verificam identidade/autorização nas rotas internas. Compose publica portas no host.";Acesso à rede equivale a poderes sobre configuração, resultados e financeiro. Não há o perfil administrativo individual solicitado.;"Identidades de workload com audience/escopo; APIs administrativas com OIDC/MFA e RBAC; hub_protocol_reader lê entre tenants pela rota administrativa auditada e não escreve.";"hub/internal/orbita/handlers.go:53;hub/cmd/orbita/main.go:119;hub/internal/atlas/handlers.go:24;hub/deploy/docker-compose.yml:57";r2-01-identidade-e-isolamento;"SEG-01;SEG-04;CFG-01;DAD-07;COM-01"
F-03;P0;Callback confirma recebimento sem custódia comprovada;"Callback não autentica origem. ApplyObservation não retorna erro ao handler, e o handler responde 200; operação desconhecida ou falha de leitura é apenas ignorada pelo executor.";Pode haver observação forjada ou perda de resposta válida após ACK. Callback anterior à correlação também não tem inbox de órfãos.;"Autenticar e persistir recibo antes de ACK; falha de persistência recebe erro retryable; órfão válido fica recuperável; rejeição tardia de negócio não apaga recibo.";"hub/internal/cometa/handlers.go:73;hub/internal/cometa/executor.go:267";r2-03-integracoes-credenciais-e-pressao;"EXE-06;EXE-12;SEG-02;COM-03"
F-04;P0;202 após falha de envio de comando, sem retomada de despacho;Protocolo é inserido antes de SendCommand. Erro de publicação só gera log e a resposta continua 202. Não há outbox de comando atômica nem scanner de recuperação do despacho.;Pedido aceito pode nunca chegar ao provedor e apenas expirar. A existência de uma outbox para fatos finais não resolve essa janela.;Crash entre aceite e broker e indisponibilidade do broker deixam uma obrigação durável que é retomada sem outro pedido do cliente.;"hub/internal/orbita/handlers.go:178;hub/internal/orbita/handlers.go:213;hub/internal/orbita/dispatcher.go:78;hub/internal/orbita/store.go:74";r2-02-execucao-duravel-e-resultados;"EXE-01;EXE-15;COM-03;DAD-03;OPE-11;DAD-02"
F-05;P0;Consumidores removem mensagens mesmo quando o efeito falha;Há Delete após Execute, falha de finalização, falha de agendamento de webhook e falha de apuração. A tabela inbox existe, mas nenhum consumidor a usa. Payload inválido também é descartado em caminhos.;SQS at-least-once não protege uma mensagem que a aplicação confirmou antes do commit. Pode desaparecer trabalho, notificação ou receita/custo.;"Falha em cada commit impede ACK; replay aplica efeito uma vez; poison message ganha quarentena durável, diagnóstico e replay autorizado.";"hub/internal/cometa/worker.go:34;hub/internal/orbita/factconsumer.go:51;hub/internal/pulsar/consumer.go:38;hub/internal/libra/consumers.go:45";r2-02-execucao-duravel-e-resultados;"COM-03;EXE-08;FIN-04;OPE-11"
F-06;P0;Resultado retornado não é o resultado do provedor;"finalize atribui ResponseBody a cmd.RequestBody. Callback/polling recompõem comando sem esse corpo. Operações não persistem o resultado externo; replay terminal retorna apenas Kind. Decode e estado desconhecido podem resultar em SUCCEEDED.";Cliente pode receber eco da entrada, corpo vazio ou sucesso sem resposta válida, incompatível com a finalidade central do Hub.;"Provedor retorna marcador diferente da entrada; SYNC, ASYNC, GET, webhook e replay preservam esse marcador, versão e hash; resposta inválida nunca vira sucesso.";"hub/internal/cometa/executor.go:120;hub/internal/cometa/executor.go:192;hub/internal/cometa/executor.go:267;hub/internal/cometa/store.go:45";r2-02-execucao-duravel-e-resultados;"DAD-04;COM-05;EXE-04;EXE-14"
F-07;P0;Concorrência pode disparar mais de uma operação externa;"CreateOperation usa ON CONFLICT DO NOTHING sem informar posse ao executor; os concorrentes continuam. UpdateState não usa CAS/epoch. A tentativa é registrada depois do envio, com erros de escrita ignorados.";Redelivery ou timeout pode duplicar efeito e custo no provedor. Epoch está no contrato, mas não cerca o executor.;"Dois pods, fila e recuperação disputam a mesma operação: só um possui permissão de envio; crash após envio conserva UNKNOWN e não autoriza failover cego.";"hub/internal/cometa/store.go:32;hub/internal/cometa/executor.go:100;hub/internal/cometa/store.go:85;hub/internal/dispatch/contract.go:40";r2-02-execucao-duravel-e-resultados;"EXE-04;EXE-09;EXE-15;DAD-03;COM-01;EXE-03"
F-08;P0;Estado externo e fato são gravados em transações separadas;finalize atualiza operação e limpa polling antes de abrir outra transação para outbox. Falha de publicação local apenas é registrada em log.;"Cometa pode declarar sucesso sem fato recuperável para Órbita e Libra; final externo fica desconectado do protocolo e do custo.";"Estado, resposta imutável, recibo e outbox compartilham commit; falha em qualquer fronteira não anuncia final durável.";"hub/internal/cometa/executor.go:192;hub/internal/cometa/executor.go:219";r2-02-execucao-duravel-e-resultados;"COM-03;DAD-03;EXE-14;FIN-04"
F-09;P0;Corrida temporal permite sucesso depois do deadline;UPDATE terminal compara versão e estado, mas não client_deadline_at. O timer periódico apenas disputa a mesma versão. Observações após terminal são ignoradas, sem recibo tardio.;"Se o timer atrasar, final tardio pode ganhar e gerar receita; se o timer ganhar, a evidência de quebra pode desaparecer.";"Com timer parado, resposta na igualdade ou depois do prazo nunca produz sucesso; disputa é decidida por regra temporal durável e preserva REJECTED_LATE_SLA.";"hub/internal/orbita/store.go:204;hub/internal/orbita/deadline_timer.go:22;hub/internal/cometa/executor.go:267";r2-02-execucao-duravel-e-resultados;"EXE-11;EXE-12;FIN-10;OPE-10;DAD-08"
F-10;P1;TTL de retry configurado não governa execução;"retry_ttl_seconds está no catálogo; não é lido no caminho de despacho nem há first_transient_at/retry_until ou scheduler de retry. Falha de transporte vai para UNKNOWN sem reconciliador.";"O parâmetro exibido na UI não produz o comportamento prometido; indisponibilidade transitória não tem janela de recuperação contratada.";"TTL=0 impede retry; primeiro erro transitório fixa a janela absoluta; reinício e troca de provedor não a renovam; UNKNOWN exige reconciliação antes de novo efeito.";"hub/internal/atlas/store.go:40;hub/internal/orbita/handlers.go:166;hub/internal/cometa/executor.go:182";r2-03-integracoes-credenciais-e-pressao;"EXE-09;EXE-10;CFG-04"
