achado_r2;titulo_historico;reavaliacao_no_snapshot;qualificacao_integral
F-01;Identidade do cliente controlada pelo próprio chamador;"JWT e identidade derivados do token implementados; revalidar fronteira administrativa/aplicação (R3-ADM-01).";"PENDENTE; ver matriz dos requisitos originais e testes exigidos"
F-02;APIs internas e administrativas sem identidade de workload;"Middleware de workload/admin existe; autorização por recurso e conta de callback ainda exigem qualificação.";"PENDENTE; ver matriz dos requisitos originais e testes exigidos"
F-03;Callback confirma recebimento sem custódia comprovada;Persistência de recibos evoluiu, mas handleCallback ainda não propaga custódia (R3-EXE-02).;"PENDENTE; ver matriz dos requisitos originais e testes exigidos"
F-04;202 após falha de envio de comando, sem retomada de despacho;"Admit grava intenção durável e há recuperadores; qualificar handoff e UNKNOWN.";"PENDENTE; ver matriz dos requisitos originais e testes exigidos"
F-05;Consumidores removem mensagens mesmo quando o efeito falha;"ACK condicional melhorou; quarentena sem bytes e topologia ainda deixam lacuna.";"PENDENTE; ver matriz dos requisitos originais e testes exigidos"
F-06;Resultado retornado não é o resultado do provedor;"Adapter sintético usa corpo observado; suporte real e transformação precisam qualificação.";"PENDENTE; ver matriz dos requisitos originais e testes exigidos"
F-07;Concorrência pode disparar mais de uma operação externa;"PrepareSubmission limita concorrência inicial; recuperação e fencing externo incompletos.";"PENDENTE; ver matriz dos requisitos originais e testes exigidos"
F-08;Estado externo e fato são gravados em transações separadas;"ConserveObservation/Acceptance usam transação com outbox; caminho callback ainda não está fechado.";"PENDENTE; ver matriz dos requisitos originais e testes exigidos"
F-09;Corrida temporal permite sucesso depois do deadline;"Contraexemplo de deadline registrado no ADR; não resolvido.";"PENDENTE; ver matriz dos requisitos originais e testes exigidos"
F-10;TTL de retry configurado não governa execução;"Campos temporais e agendamento existem; relógios estão acoplados incorretamente.";"PENDENTE; ver matriz dos requisitos originais e testes exigidos"
F-11;SYNC, AUTO e UUID em erros não cumprem todo o contrato;"Caminho direto/AUTO implementado parcialmente; requalificar erros, budgets e UUID após aceite.";"PENDENTE; ver matriz dos requisitos originais e testes exigidos"
F-12;Credencial dedicada resolvida não é a usada na chamada;"Binding congelado chega à autenticação em parte; campos/API Key e isolamento ainda pendentes.";"PENDENTE; ver matriz dos requisitos originais e testes exigidos"
F-13;Autenticação do simulador não equivale a integração segura real;"Segredos/OAuth/mTLS reais foram introduzidos; adapter e homologação externa ainda incompletos.";"PENDENTE; ver matriz dos requisitos originais e testes exigidos"
F-14;Redis e broker bloqueiam inclusive reinício do caminho SYNC;"Bootstrap do broker foi desacoplado do HTTP; fallback quente e dependência do cofre/controle ainda incompletos.";"PENDENTE; ver matriz dos requisitos originais e testes exigidos"
F-15;Polling sem autenticação, lease e orçamento configurável;"Claim/lease/epoch/auth de polling implementados; integração pressão/relógios/callback pendente.";"PENDENTE; ver matriz dos requisitos originais e testes exigidos"
F-16;Não há amortecimento adaptativo nem isolamento de carga;Controlador existe sem ligação ao I/O do executor.;"PENDENTE; ver matriz dos requisitos originais e testes exigidos"
F-17;Catálogo publicado pode ser sobrescrito e não governa admissão;"Catálogo versionado e publicação governam parte da admissão; política efetiva/projeção pendentes.";"PENDENTE; ver matriz dos requisitos originais e testes exigidos"
F-18;Produtos, DAG e contratos legados ainda não existem;"Modelos de produto/perfil existem; DAG e saída customizada não executam integralmente.";"PENDENTE; ver matriz dos requisitos originais e testes exigidos"
F-19;Importação não ativa adaptadores e substitui configurações locais;"Importação/catalogação avançou; não confundir inventário com adapter executável.";"PENDENTE; ver matriz dos requisitos originais e testes exigidos"
F-20;Console limitado a quatro formulários e histórico efêmero;"Achado de quatro formulários está superado na extensão visual: há navegação ampliada e páginas reais; jornadas ainda falham.";"PENDENTE; ver matriz dos requisitos originais e testes exigidos"
F-21;Faltam jornadas administrativas de produto, operação e financeiro;Novas páginas existem, mas ações operacionais e financeiras são incompatíveis.;"PENDENTE; ver matriz dos requisitos originais e testes exigidos"
F-22;Formulários expõem detalhes técnicos e estados pouco guiados;"Formulários evoluíram; multimodalidade, autenticação, fuso e lookups ainda deficientes.";"PENDENTE; ver matriz dos requisitos originais e testes exigidos"
F-23;Custo e receita não usam contratos econômicos congelados;"Snapshots econômicos implementados; incidência completa por unidade precisa integração.";"PENDENTE; ver matriz dos requisitos originais e testes exigidos"
F-24;Saldo estrito não contabiliza consumo já capturado;"Reserva agora considera CAPTURED/UNCERTAIN_HOLD; captura versus efetivo/franquia permanecem lacunas distintas.";"PENDENTE; ver matriz dos requisitos originais e testes exigidos"
F-25;Ledger, precisão monetária e fechamento não estão implementados;"Ledger e precisão monetária implementados; fechamento operacional não está completo.";"PENDENTE; ver matriz dos requisitos originais e testes exigidos"
F-26;Webhook usa URL como identidade do segredo;"Destino versionado usa secret_ref/version; seleção de destinatário ainda não é congelada no aceite.";"PENDENTE; ver matriz dos requisitos originais e testes exigidos"
F-27;Webhook sem claim, recibos completos e política por cliente;"Claim e tentativas de entrega implementados; ciclo completo/budgets/reentrega precisam prova.";"PENDENTE; ver matriz dos requisitos originais e testes exigidos"
F-28;Resultado final não é materializado como representação imutável completa;"Representação é persistida/reutilizada em parte; OutputMapping e contrato por aplicação pendentes.";"PENDENTE; ver matriz dos requisitos originais e testes exigidos"
F-29;Arquivos grandes não participam dos fluxos reais;"FileRefs/pins/upload existem; integração com adapter/resultado volumoso pendente.";"PENDENTE; ver matriz dos requisitos originais e testes exigidos"
F-30;Persistência sem isolamento de papéis, expurgo e auditoria durável;"Migrações e mecanismos de retenção existem; papéis/RLS/restore reais não qualificados.";"PENDENTE; ver matriz dos requisitos originais e testes exigidos"
F-31;Docker local não inclui toda a plataforma e não garante persistência na recriação;"Compose foi ampliado substancialmente; jornada integrada no SHA não foi reexecutada aqui.";"PENDENTE; ver matriz dos requisitos originais e testes exigidos"
F-32;Kubernetes é referência incompleta, sem os cinco ambientes;"Cinco ambientes declarados; kind completo e runtime remoto continuam incompletos.";"PENDENTE; ver matriz dos requisitos originais e testes exigidos"
F-33;Autoscaling de células e reconciliação de IaC não fecham o circuito;Autoscalers declarados não provam placement/nós/dados fechando o circuito.;"PENDENTE; ver matriz dos requisitos originais e testes exigidos"
F-34;Clientes AWS e bootstrap são fixos ao ambiente local;"AWS credential chain e namespace configuráveis existem; bootstrap/runtime remoto ainda requerem qualificação.";"PENDENTE; ver matriz dos requisitos originais e testes exigidos"
F-35;Probes não acompanham capacidades e não há drenagem graciosa;"HTTP Shutdown implementado; probes por capacidade e drenagem de workers precisam fechamento.";"PENDENTE; ver matriz dos requisitos originais e testes exigidos"
F-36;Observabilidade não mede SLA, pressão nem custódia;"Telemetria HTTP adicionada; sinais de domínio e SLA consultável ainda incompletos.";"PENDENTE; ver matriz dos requisitos originais e testes exigidos"
F-37;Ensaios de HA, isolamento e recuperação não foram demonstrados;HA/isolamento/restore continuam sem prova desta revisão.;"PENDENTE; ver matriz dos requisitos originais e testes exigidos"
F-38;Cobertura existente não prova as garantias que os nomes dos testes sugerem;"Suite passa com 18 skips; testes isolados não qualificam fluxo completo.";"PENDENTE; ver matriz dos requisitos originais e testes exigidos"
F-39;Rastreabilidade histórica contém conclusões que não refletem o snapshot;"Relatório R2 reconhece andamento; matriz genérica precisa evidência individual.";"PENDENTE; ver matriz dos requisitos originais e testes exigidos"
F-40;Versões e contratos de ferramenta carecem de qualificação operacional;"Build passa; compatibilidade integrada de versões/topologia ainda precisa gate.";"PENDENTE; ver matriz dos requisitos originais e testes exigidos"
F-41;Destinos configuráveis não possuem defesa SSRF;"Defesa egress/SSRF adicionada; qualificar em todo adapter/redirect/DNS e rotação.";"PENDENTE; ver matriz dos requisitos originais e testes exigidos"
F-42;Recepção e pools não limitam custo por tenant;"Limites locais existem; pressão global e pools por chamada ainda são lacunas.";"PENDENTE; ver matriz dos requisitos originais e testes exigidos"
