achado;titulo_historico;R3_relacionados;estado_no_snapshot
F-01;Identidade do cliente controlada pelo próprio chamador;F-R3-13;"MFA/papel nominal/escopo e reason auditados em admin; smokes de tenant/application. Adoção RLS e escopo de endpoints auxiliares precisam completar defesa."
F-02;APIs internas e administrativas sem identidade de workload;F-R3-13,F-R3-02;"MFA/papel nominal/escopo e reason auditados em admin; smokes de tenant/application. Adoção RLS e escopo de endpoints auxiliares precisam completar defesa. Rota pública/HMAC/inbox/worker implementados. F-R5-01 demonstra caminho órfão sem verificação prévia; escopo/rotação/retention continuam exigindo prova."
F-03;Callback confirma recebimento sem custódia comprovada;F-R3-02;"Rota pública/HMAC/inbox/worker implementados. F-R5-01 demonstra caminho órfão sem verificação prévia; escopo/rotação/retention continuam exigindo prova."
F-04;202 após falha de envio de comando, sem retomada de despacho;F-R3-03,F-R3-05;"Fencing de submissão e reconciliação por status implementados. UNKNOWN sem correlação não é reenviado; falta reconciliação automática com oráculo por chave quando suportado e fechamento de efeito/financeiro sob crash. Worker Cometa/Pulsar conserva quarentena. Libra ainda só hash; startup dos publishers não confirma todas as assinaturas obrigatórias."
F-05;Consumidores removem mensagens mesmo quando o efeito falha;F-R3-05;"Worker Cometa/Pulsar conserva quarentena. Libra ainda só hash; startup dos publishers não confirma todas as assinaturas obrigatórias."
F-06;Resultado retornado não é o resultado do provedor;F-R3-01,F-R3-07;"rest-json-v1 instalado e teste HTTP independente do simulador; preservar registry e homologar provedores/contratos reais e capacidades por etapa. Perfil técnico/output mapping/representação e versão solicitada avançaram. Produtos precisam snapshot por etapa e consolidação efetiva, preservar GET/webhook congelados."
F-07;Concorrência pode disparar mais de uma operação externa;F-R3-03;"Fencing de submissão e reconciliação por status implementados. UNKNOWN sem correlação não é reenviado; falta reconciliação automática com oráculo por chave quando suportado e fechamento de efeito/financeiro sob crash."
F-08;Estado externo e fato são gravados em transações separadas;F-R3-02,F-R3-03;"Rota pública/HMAC/inbox/worker implementados. F-R5-01 demonstra caminho órfão sem verificação prévia; escopo/rotação/retention continuam exigindo prova. Fencing de submissão e reconciliação por status implementados. UNKNOWN sem correlação não é reenviado; falta reconciliação automática com oráculo por chave quando suportado e fechamento de efeito/financeiro sob crash."
F-09;Corrida temporal permite sucesso depois do deadline;F-R3-04;"Polling saudável agora usa StepDeadline; TTL de primeira falha persistido. Barreira retry_until pré-despacho e semântica UI ainda pendentes; T-R2-01 não presumidamente resolvido."
F-10;TTL de retry configurado não governa execução;F-R3-04;"Polling saudável agora usa StepDeadline; TTL de primeira falha persistido. Barreira retry_until pré-despacho e semântica UI ainda pendentes; T-R2-01 não presumidamente resolvido."
