achado;requisito_r3;titulo;situacao_atual;r4_diretos;spec_herdada;encerramento_integral
F-R3-01;R3-EXE-01;Adapters executáveis e autenticação completa;"API_KEY agora atravessa modelo/projeção/executor/poller; gate synthetic-provider persiste. Fechar adapter real e homologação.";R4-CBK-04;openspec/changes/r3-01-custodia-e-integracao-externa/specs/01-custodia-e-integracao-externa/spec.md;PENDENTE_QUALIFICACAO
F-R3-02;R3-EXE-02;Callback com confirmação de custódia;"Capability e recibo antes de ACK foram adicionados. Nova inbox tem lacunas de autenticação/deduplicação e recuperador; rota segue sob JWT Hub.";R4-CBK-01,R4-CBK-02,R4-CBK-03,R4-CBK-04;openspec/changes/r3-01-custodia-e-integracao-externa/specs/01-custodia-e-integracao-externa/spec.md;PENDENTE_QUALIFICACAO
F-R3-03;R3-EXE-03;Recuperação de efeito incerto e fencing;PrepareSubmission/UNKNOWN sem recuperador geral e sem fencing de egress continuam. Inbox não resolve incerteza de SUBMIT.;R4-CBK-03;openspec/changes/r3-01-custodia-e-integracao-externa/specs/01-custodia-e-integracao-externa/spec.md;PENDENTE_QUALIFICACAO
F-R3-04;R3-EXE-04;Relógios de retry, polling e prazo final;"Relógios, exclusividade polling/callback e T-R2-01 permanecem; sem mudança no finalizador.";;openspec/changes/r3-01-custodia-e-integracao-externa/specs/01-custodia-e-integracao-externa/spec.md;PENDENTE_QUALIFICACAO
F-R3-05;R3-EXE-05;Topologia de mensagens e quarentena recuperável;Topologia/outboxes/consumidor financeiro não mudaram. Quarentena financeira continua só hash.;;openspec/changes/r3-01-custodia-e-integracao-externa/specs/01-custodia-e-integracao-externa/spec.md;PENDENTE_QUALIFICACAO
F-R3-06;R3-CAT-01;Precisão numérica e validação de schemas;Precisão grande/enum simples corrigidos e reproduzidos positivamente. Novas violações de tipos/EOF/schema ainda abertas.;R4-CTR-01,R4-CTR-02;openspec/changes/r3-02-portfolio-e-contratos-efetivos/specs/02-portfolio-e-contratos-efetivos/spec.md;PENDENTE_QUALIFICACAO
F-R3-07;R3-CAT-02;Política efetiva e representação por cliente;"Handler de admissão e finalizer não mudaram; política efetiva/versão e OutputMapping pendentes.";R4-CBK-04;openspec/changes/r3-02-portfolio-e-contratos-efetivos/specs/02-portfolio-e-contratos-efetivos/spec.md;PENDENTE_QUALIFICACAO
F-R3-08;R3-CAT-03;Agregação e composição com executor de DAG;"Executor de DAG não conectado; PlanDAG de catálogo não é execução de produto.";;openspec/changes/r3-02-portfolio-e-contratos-efetivos/specs/02-portfolio-e-contratos-efetivos/spec.md;PENDENTE_QUALIFICACAO
F-R3-09;R3-CAT-04;Resolução indexada e projeção disponível;"Teto de 100 removido por paginação; todas as ofertas ainda materializadas antes do filtro e Atlas consultado por pedido.";R4-OPE-03;openspec/changes/r3-02-portfolio-e-contratos-efetivos/specs/02-portfolio-e-contratos-efetivos/spec.md;PENDENTE_QUALIFICACAO
F-R3-10;R3-INT-01;Controle adaptativo conectado a todo I/O;"Capacity continua sem ligação a Execute/requestPoll; código desse controlador e consumidores permanece igual.";R4-CBK-03;openspec/changes/r3-03-capacidade-credenciais-e-latencia/specs/03-capacidade-credenciais-e-latencia/spec.md;PENDENTE_QUALIFICACAO
F-R3-11;R3-INT-02;Cache de autenticação isolado e sem tokens no Redis;"Tokens removidos do Redis; lock por chave existe. L1 ainda depende do cofre; crescimento de locks não limitado.";R4-OPE-01;openspec/changes/r3-03-capacidade-credenciais-e-latencia/specs/03-capacidade-credenciais-e-latencia/spec.md;PENDENTE_QUALIFICACAO
F-R3-12;R3-INT-03;Pools HTTP e budgets de concorrência;"Transports por chamada permanecem; arquivo egress não mudou e chamadas NewClient continuam.";R4-OPE-03;openspec/changes/r3-03-capacidade-credenciais-e-latencia/specs/03-capacidade-credenciais-e-latencia/spec.md;PENDENTE_QUALIFICACAO
F-R3-13;R3-ADM-01;Fronteira administrativa e aplicação;"Papel hub_protocol_reader e MFA agora obrigatórios no admin; avanço de autorização constatado. Requalificar política de aplicação/mascaramento e browser sem afirmar bypass corrigido ainda existente.";;openspec/changes/r3-04-console-e-autorizacao/specs/04-console-e-autorizacao/spec.md;PENDENTE_QUALIFICACAO
F-R3-14;R3-ADM-02;Ações operacionais com API efetiva;"Nenhuma alteração no frontend; IDs de entrega/rotas SLA/reconcile continuam incompatíveis.";R4-QUA-02;openspec/changes/r3-04-console-e-autorizacao/specs/04-console-e-autorizacao/spec.md;PENDENTE_QUALIFICACAO
F-R3-15;R3-ADM-03;Comandos financeiros compatíveis;"Frontend/handlers financeiros não mudaram; payload/tenant/datas e fluxo idempotente continuam pendentes.";R4-QUA-02;openspec/changes/r3-04-console-e-autorizacao/specs/04-console-e-autorizacao/spec.md;PENDENTE_QUALIFICACAO
F-R3-16;R3-ADM-04;Formulários completos e tempo local;"Catálogo UI não mudou; multimodalidade, campos auth, fuso e lookups continuam pendentes.";R4-QUA-02;openspec/changes/r3-04-console-e-autorizacao/specs/04-console-e-autorizacao/spec.md;PENDENTE_QUALIFICACAO
