change,spec_file,requirement_id,requirement_title,status,evidence
hub-interoperabilidade-v4,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,ARQ-01,ARQ-01 — Fronteiras,NOT_RUN,
hub-interoperabilidade-v4,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,ARQ-02,ARQ-02 — Topologia de referência,NOT_RUN,
hub-interoperabilidade-v4,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,ARQ-03,ARQ-03 — Escolha tecnológica,NOT_RUN,
hub-interoperabilidade-v4,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,ARQ-04,ARQ-04 — Linguagem e tecnologia por aplicação,NOT_RUN,
hub-interoperabilidade-v4,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,ARQ-05,ARQ-05 — Razões das dependências e revisão de alternativas,NOT_RUN,
hub-interoperabilidade-v4,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,ARQ-06,ARQ-06 — Tecnologias para expansão e continuidade,NOT_RUN,
hub-interoperabilidade-v4,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,COM-01,COM-01 — Comunicação interna definida,NOT_RUN,
hub-interoperabilidade-v4,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,COM-02,COM-02 — Integração de clientes e provedores,NOT_RUN,
hub-interoperabilidade-v4,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,COM-03,COM-03 — Mensagens e idempotência,NOT_RUN,
hub-interoperabilidade-v4,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,COM-04,COM-04 — Evolução de contratos,NOT_RUN,
hub-interoperabilidade-v4,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,COM-05,COM-05 — Mesmo contrato em GET e webhook,NOT_RUN,
hub-interoperabilidade-v4,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,COM-06,COM-06 — Contrato do despacho direto,NOT_RUN,
hub-interoperabilidade-v4,openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md,CAT-01,CAT-01 — Catálogo de serviços,NOT_RUN,
hub-interoperabilidade-v4,openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md,CAT-02,CAT-02 — Portfólio e disponibilidade,NOT_RUN,
hub-interoperabilidade-v4,openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md,CAT-03,CAT-03 — Agregação,NOT_RUN,
hub-interoperabilidade-v4,openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md,CAT-04,CAT-04 — Composição,NOT_RUN,
hub-interoperabilidade-v4,openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md,CAT-05,CAT-05 — Consolidação e efeitos,NOT_RUN,
hub-interoperabilidade-v4,openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md,CAT-06,CAT-06 — Seleção e equivalência de provedores,NOT_RUN,
hub-interoperabilidade-v4,openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md,CAT-07,CAT-07 — Política comercial do produto,NOT_RUN,
hub-interoperabilidade-v4,openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md,CAT-08,CAT-08 — Rastreabilidade da composição,NOT_RUN,
hub-interoperabilidade-v4,openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md,CAT-09,CAT-09 — Contratos técnicos por cliente,NOT_RUN,
hub-interoperabilidade-v4,openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md,CAT-10,CAT-10 — Elegibilidade de SLA e capacidade,NOT_RUN,
hub-interoperabilidade-v4,openspec/changes/hub-interoperabilidade-v4/specs/catalogo-e-portfolio/spec.md,CAT-11,"CAT-11 — Crescimento, modalidade e elegibilidade de credencial",NOT_RUN,
hub-interoperabilidade-v4,openspec/changes/hub-interoperabilidade-v4/specs/configuracao-e-seguranca/spec.md,CFG-01,CFG-01 — Portal e API administrativa,NOT_RUN,
hub-interoperabilidade-v4,openspec/changes/hub-interoperabilidade-v4/specs/configuracao-e-seguranca/spec.md,CFG-02,CFG-02 — Publicação governada,NOT_RUN,
hub-interoperabilidade-v4,openspec/changes/hub-interoperabilidade-v4/specs/configuracao-e-seguranca/spec.md,CFG-03,CFG-03 — Manutenção e diagnóstico,NOT_RUN,
hub-interoperabilidade-v4,openspec/changes/hub-interoperabilidade-v4/specs/configuracao-e-seguranca/spec.md,SEG-01,SEG-01 — Identidade e autorização,NOT_RUN,
hub-interoperabilidade-v4,openspec/changes/hub-interoperabilidade-v4/specs/configuracao-e-seguranca/spec.md,SEG-02,"SEG-02 — Destinos, callbacks e dados",NOT_RUN,
hub-interoperabilidade-v4,openspec/changes/hub-interoperabilidade-v4/specs/configuracao-e-seguranca/spec.md,SEG-03,SEG-03 — Isolamento e auditoria,NOT_RUN,
hub-interoperabilidade-v4,openspec/changes/hub-interoperabilidade-v4/specs/configuracao-e-seguranca/spec.md,CFG-04,CFG-04 — Configuração dos novos limites,NOT_RUN,
hub-interoperabilidade-v4,openspec/changes/hub-interoperabilidade-v4/specs/configuracao-e-seguranca/spec.md,SEG-04,SEG-04 — Administração entre tenants para desenvolvedores,NOT_RUN,
hub-interoperabilidade-v4,openspec/changes/hub-interoperabilidade-v4/specs/configuracao-e-seguranca/spec.md,CFG-05,CFG-05 — Gestão de credenciais Hub–cliente–provedor,NOT_RUN,
hub-interoperabilidade-v4,openspec/changes/hub-interoperabilidade-v4/specs/configuracao-e-seguranca/spec.md,CFG-06,CFG-06 — Onboarding e capacidade como serviço interno,NOT_RUN,
hub-interoperabilidade-v4,openspec/changes/hub-interoperabilidade-v4/specs/configuracao-e-seguranca/spec.md,SEG-05,"SEG-05 — Resolução, rotação e isolamento de segredo",NOT_RUN,
hub-interoperabilidade-v4,openspec/changes/hub-interoperabilidade-v4/specs/contratos-e-financeiro/spec.md,FIN-01,FIN-01 — Contrato de aquisição,NOT_RUN,
hub-interoperabilidade-v4,openspec/changes/hub-interoperabilidade-v4/specs/contratos-e-financeiro/spec.md,FIN-02,FIN-02 — Contrato de venda e planos,NOT_RUN,
hub-interoperabilidade-v4,openspec/changes/hub-interoperabilidade-v4/specs/contratos-e-financeiro/spec.md,FIN-03,FIN-03 — Vigência e snapshot,NOT_RUN,
hub-interoperabilidade-v4,openspec/changes/hub-interoperabilidade-v4/specs/contratos-e-financeiro/spec.md,FIN-04,FIN-04 — Medição e chaves econômicas,NOT_RUN,
hub-interoperabilidade-v4,openspec/changes/hub-interoperabilidade-v4/specs/contratos-e-financeiro/spec.md,FIN-05,FIN-05 — Matriz de incidência,NOT_RUN,
hub-interoperabilidade-v4,openspec/changes/hub-interoperabilidade-v4/specs/contratos-e-financeiro/spec.md,FIN-06,FIN-06 — Reserva de saldo e limites,NOT_RUN,
hub-interoperabilidade-v4,openspec/changes/hub-interoperabilidade-v4/specs/contratos-e-financeiro/spec.md,FIN-07,FIN-07 — Apuração e ledger,NOT_RUN,
hub-interoperabilidade-v4,openspec/changes/hub-interoperabilidade-v4/specs/contratos-e-financeiro/spec.md,FIN-08,"FIN-08 — Fechamento, conciliação e pagamento",NOT_RUN,
hub-interoperabilidade-v4,openspec/changes/hub-interoperabilidade-v4/specs/contratos-e-financeiro/spec.md,FIN-09,FIN-09 — Exemplos de referência para QA,NOT_RUN,
hub-interoperabilidade-v4,openspec/changes/hub-interoperabilidade-v4/specs/contratos-e-financeiro/spec.md,FIN-10,"FIN-10 — Quebra de SLA, custo tardio e créditos",NOT_RUN,
hub-interoperabilidade-v4,openspec/changes/hub-interoperabilidade-v4/specs/contratos-e-financeiro/spec.md,FIN-11,"FIN-11 — Conta, credencial e responsabilidade econômica",NOT_RUN,
hub-interoperabilidade-v4,openspec/changes/hub-interoperabilidade-v4/specs/decisoes-e-governanca/spec.md,DEC-01,DEC-01 — Decisões arquiteturais de referência,NOT_RUN,
hub-interoperabilidade-v4,openspec/changes/hub-interoperabilidade-v4/specs/decisoes-e-governanca/spec.md,DEC-02,DEC-02 — Registro de decisões pendentes (P-01 a P-11),NOT_RUN,
