achado;prioridade;requisito;titulo;natureza;origem;fontes
F-R6-01;P0;R6-SEG-01;RLS no caminho real e prova com dados existentes;ANALISE_ESTATICA;R5-SEG-03;[hub/migrations/core/0049_strict_runtime_rls.sql:5](https://github.com/leandroclf/ai-hub/blob/a540b40007fe6b8ed523e17afe00e96ff8f8ad50/hub/migrations/core/0049_strict_runtime_rls.sql#L5), [hub/internal/platform/pg/pg.go:39](https://github.com/leandroclf/ai-hub/blob/a540b40007fe6b8ed523e17afe00e96ff8f8ad50/hub/internal/platform/pg/pg.go#L39), [hub/deploy/r2/tests/rls-runtime-proof.sh:17](https://github.com/leandroclf/ai-hub/blob/a540b40007fe6b8ed523e17afe00e96ff8f8ad50/hub/deploy/r2/tests/rls-runtime-proof.sh#L17), [hub/deploy/r2/compose.yaml:203](https://github.com/leandroclf/ai-hub/blob/a540b40007fe6b8ed523e17afe00e96ff8f8ad50/hub/deploy/r2/compose.yaml#L203)
F-R6-02;P0;R6-SEG-02;Callback aceito sobrevive à rotação e à indisponibilidade;ANALISE_ESTATICA;R5-SEG-01;[hub/internal/cometa/custody.go:228](https://github.com/leandroclf/ai-hub/blob/a540b40007fe6b8ed523e17afe00e96ff8f8ad50/hub/internal/cometa/custody.go#L228), [hub/internal/cometa/custody.go:195](https://github.com/leandroclf/ai-hub/blob/a540b40007fe6b8ed523e17afe00e96ff8f8ad50/hub/internal/cometa/custody.go#L195), [hub/internal/cometa/custody.go:385](https://github.com/leandroclf/ai-hub/blob/a540b40007fe6b8ed523e17afe00e96ff8f8ad50/hub/internal/cometa/custody.go#L385), [hub/internal/cometa/custody.go:411](https://github.com/leandroclf/ai-hub/blob/a540b40007fe6b8ed523e17afe00e96ff8f8ad50/hub/internal/cometa/custody.go#L411)
F-R6-03;P0;R6-EXE-01;Snapshot de etapa coerente em todas as identidades;PROBE_REPRODUZIDO;R5-EXE-03;[hub/internal/orbita/product_plan.go:126](https://github.com/leandroclf/ai-hub/blob/a540b40007fe6b8ed523e17afe00e96ff8f8ad50/hub/internal/orbita/product_plan.go#L126), [hub/internal/orbita/product_plan.go:83](https://github.com/leandroclf/ai-hub/blob/a540b40007fe6b8ed523e17afe00e96ff8f8ad50/hub/internal/orbita/product_plan.go#L83), [hub/internal/cometa/executor.go:199](https://github.com/leandroclf/ai-hub/blob/a540b40007fe6b8ed523e17afe00e96ff8f8ad50/hub/internal/cometa/executor.go#L199)
F-R6-04;P0;R6-EXE-02;Expiração bloqueia também recuperação DIRECT;ANALISE_ESTATICA;R5-EXE-01;[hub/internal/orbita/intents.go:208](https://github.com/leandroclf/ai-hub/blob/a540b40007fe6b8ed523e17afe00e96ff8f8ad50/hub/internal/orbita/intents.go#L208), [hub/internal/orbita/intents.go:363](https://github.com/leandroclf/ai-hub/blob/a540b40007fe6b8ed523e17afe00e96ff8f8ad50/hub/internal/orbita/intents.go#L363), [hub/internal/orbita/handlers.go:337](https://github.com/leandroclf/ai-hub/blob/a540b40007fe6b8ed523e17afe00e96ff8f8ad50/hub/internal/orbita/handlers.go#L337)
F-R6-05;P0;R6-EXE-03;Compensação progride após final público;ANALISE_ESTATICA;R5-EXE-04;[hub/internal/orbita/intents.go:50](https://github.com/leandroclf/ai-hub/blob/a540b40007fe6b8ed523e17afe00e96ff8f8ad50/hub/internal/orbita/intents.go#L50), [hub/internal/orbita/product_store.go:264](https://github.com/leandroclf/ai-hub/blob/a540b40007fe6b8ed523e17afe00e96ff8f8ad50/hub/internal/orbita/product_store.go#L264), [hub/migrations/core/0048_compensation_independent_deadline.sql:4](https://github.com/leandroclf/ai-hub/blob/a540b40007fe6b8ed523e17afe00e96ff8f8ad50/hub/migrations/core/0048_compensation_independent_deadline.sql#L4)
F-R6-06;P0;R6-EXE-04;Liberação de slot e intent na mesma transação;ANALISE_ESTATICA;R5-EXE-02;[hub/internal/orbita/intents.go:295](https://github.com/leandroclf/ai-hub/blob/a540b40007fe6b8ed523e17afe00e96ff8f8ad50/hub/internal/orbita/intents.go#L295), [hub/internal/orbita/intents.go:336](https://github.com/leandroclf/ai-hub/blob/a540b40007fe6b8ed523e17afe00e96ff8f8ad50/hub/internal/orbita/intents.go#L336), [hub/internal/orbita/intents.go:180](https://github.com/leandroclf/ai-hub/blob/a540b40007fe6b8ed523e17afe00e96ff8f8ad50/hub/internal/orbita/intents.go#L180)
F-R6-07;P0;R6-FIN-01;Replay financeiro distingue aplicação de nova quarentena;ANALISE_ESTATICA;R5-DAD-04;[hub/internal/libra/consumers.go:33](https://github.com/leandroclf/ai-hub/blob/a540b40007fe6b8ed523e17afe00e96ff8f8ad50/hub/internal/libra/consumers.go#L33), [hub/internal/libra/handlers.go:419](https://github.com/leandroclf/ai-hub/blob/a540b40007fe6b8ed523e17afe00e96ff8f8ad50/hub/internal/libra/handlers.go#L419), [hub/internal/libra/store.go:389](https://github.com/leandroclf/ai-hub/blob/a540b40007fe6b8ed523e17afe00e96ff8f8ad50/hub/internal/libra/store.go#L389), [hub/internal/libra/store.go:420](https://github.com/leandroclf/ai-hub/blob/a540b40007fe6b8ed523e17afe00e96ff8f8ad50/hub/internal/libra/store.go#L420)
F-R6-08;P0;R6-FIN-02;Completude e liquidação verificáveis no fluxo real;ANALISE_ESTATICA;R5-DAD-03;[hub/internal/libra/store.go:144](https://github.com/leandroclf/ai-hub/blob/a540b40007fe6b8ed523e17afe00e96ff8f8ad50/hub/internal/libra/store.go#L144), [hub/internal/libra/store.go:453](https://github.com/leandroclf/ai-hub/blob/a540b40007fe6b8ed523e17afe00e96ff8f8ad50/hub/internal/libra/store.go#L453), [hub/internal/libra/settlement.go:217](https://github.com/leandroclf/ai-hub/blob/a540b40007fe6b8ed523e17afe00e96ff8f8ad50/hub/internal/libra/settlement.go#L217)
F-R6-09;P0;R6-OPE-01;Gate de promoção vinculado ao artefato e à cobertura;PROBE_REPRODUZIDO;R5-OPE-02;[hub/deploy/r2/tests/promotion-gate.sh:22](https://github.com/leandroclf/ai-hub/blob/a540b40007fe6b8ed523e17afe00e96ff8f8ad50/hub/deploy/r2/tests/promotion-gate.sh#L22), [hub/deploy/r2/tests/validate-qualification-evidence.py:71](https://github.com/leandroclf/ai-hub/blob/a540b40007fe6b8ed523e17afe00e96ff8f8ad50/hub/deploy/r2/tests/validate-qualification-evidence.py#L71), [hub/deploy/r2/tests/validate-qualification-evidence.py:81](https://github.com/leandroclf/ai-hub/blob/a540b40007fe6b8ed523e17afe00e96ff8f8ad50/hub/deploy/r2/tests/validate-qualification-evidence.py#L81)
F-R6-10;P0;R6-OPE-02;Restore populado com versões e retomada reconciliada;ANALISE_ESTATICA;R5-DAD-02;[hub/deploy/r2/tests/restore-reconciliation.sh:21](https://github.com/leandroclf/ai-hub/blob/a540b40007fe6b8ed523e17afe00e96ff8f8ad50/hub/deploy/r2/tests/restore-reconciliation.sh#L21), [hub/deploy/r2/tests/restore-reconciliation.sh:57](https://github.com/leandroclf/ai-hub/blob/a540b40007fe6b8ed523e17afe00e96ff8f8ad50/hub/deploy/r2/tests/restore-reconciliation.sh#L57), [hub/deploy/r2/tests/restore-reconciliation.sh:63](https://github.com/leandroclf/ai-hub/blob/a540b40007fe6b8ed523e17afe00e96ff8f8ad50/hub/deploy/r2/tests/restore-reconciliation.sh#L63)
