cenario;requisito;titulo;change;resultado;evidencia;observacao
R2-SEG-01-S01;R2-SEG-01;Cliente autorizado;r2-01-identidade-e-isolamento;NAO_EXECUTADO;;Exige verificação de todas as precondições e oráculos
R2-SEG-01-S02;R2-SEG-01;Tentativa entre tenants;r2-01-identidade-e-isolamento;NAO_EXECUTADO;;Exige verificação de todas as precondições e oráculos
R2-SEG-01-S03;R2-SEG-01;Token inválido;r2-01-identidade-e-isolamento;NAO_EXECUTADO;;Exige verificação de todas as precondições e oráculos
R2-SEG-02-S01;R2-SEG-02;Chamada interna permitida;r2-01-identidade-e-isolamento;NAO_EXECUTADO;;Exige verificação de todas as precondições e oráculos
R2-SEG-02-S02;R2-SEG-02;Bypass pela porta interna;r2-01-identidade-e-isolamento;NAO_EXECUTADO;;Exige verificação de todas as precondições e oráculos
R2-SEG-02-S03;R2-SEG-02;Pool reutilizado;r2-01-identidade-e-isolamento;NAO_EXECUTADO;;Exige verificação de todas as precondições e oráculos
R2-SEG-03-S01;R2-SEG-03;Diagnóstico de desenvolvedor;r2-01-identidade-e-isolamento;NAO_EXECUTADO;;Exige verificação de todas as precondições e oráculos
R2-SEG-03-S02;R2-SEG-03;Sem elevação implícita;r2-01-identidade-e-isolamento;NAO_EXECUTADO;;Exige verificação de todas as precondições e oráculos
R2-SEG-03-S03;R2-SEG-03;Auditoria indisponível;r2-01-identidade-e-isolamento;NAO_EXECUTADO;;Exige verificação de todas as precondições e oráculos
R2-SEG-04-S01;R2-SEG-04;Destino homologado;r2-01-identidade-e-isolamento;NAO_EXECUTADO;;Exige verificação de todas as precondições e oráculos
R2-SEG-04-S02;R2-SEG-04;SSRF e rebinding;r2-01-identidade-e-isolamento;NAO_EXECUTADO;;Exige verificação de todas as precondições e oráculos
R2-SEG-04-S03;R2-SEG-04;Rede privada legítima;r2-01-identidade-e-isolamento;NAO_EXECUTADO;;Exige verificação de todas as precondições e oráculos
R2-SEG-05-S01;R2-SEG-05;Alteração atribuível;r2-01-identidade-e-isolamento;NAO_EXECUTADO;;Exige verificação de todas as precondições e oráculos
R2-SEG-05-S02;R2-SEG-05;Sessão termina;r2-01-identidade-e-isolamento;NAO_EXECUTADO;;Exige verificação de todas as precondições e oráculos
R2-SEG-05-S03;R2-SEG-05;Falha de backend;r2-01-identidade-e-isolamento;NAO_EXECUTADO;;Exige verificação de todas as precondições e oráculos
R2-EXE-01-S01;R2-EXE-01;Crash após aceite;r2-02-execucao-duravel-e-resultados;NAO_EXECUTADO;;Exige verificação de todas as precondições e oráculos
