requisito;titulo;origem;tarefas;situacao;evidencia;observacao
ARQ-01;Fronteiras;baseline;r2-08-operacao-elastica-e-observavel:2.2/3.2;REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
ARQ-02;Topologia de referência;baseline;"r2-04-catalogo-produtos-e-contratos:2.6/3.6;r2-08-operacao-elastica-e-observavel:2.6/3.6";REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
ARQ-03;Escolha tecnológica;baseline;r2-03-integracoes-credenciais-e-pressao:2.3/3.3;REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
ARQ-04;Linguagem e tecnologia por aplicação;baseline;r2-09-qualificacao-e-rastreabilidade:2.4/3.4;REVALIDACAO_PENDENTE;;ESCOLHA_CONSTATADA
ARQ-05;Razões das dependências e revisão de alternativas;baseline;r2-08-operacao-elastica-e-observavel:2.8/3.8;REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
ARQ-06;Tecnologias para expansão e continuidade;baseline;"r2-08-operacao-elastica-e-observavel:2.2/3.2;r2-08-operacao-elastica-e-observavel:2.4/3.4;r2-08-operacao-elastica-e-observavel:2.5/3.5";REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
COM-01;Comunicação interna definida;baseline;r2-02-execucao-duravel-e-resultados:2.7/3.7;REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
COM-02;Integração de clientes e provedores;baseline;"r2-01-identidade-e-isolamento:2.4/3.4;r2-03-integracoes-credenciais-e-pressao:2.1/3.1;r2-04-catalogo-produtos-e-contratos:2.5/3.5;r2-04-catalogo-produtos-e-contratos:2.7/3.7;r2-05-console-administrativo:2.4/3.4;r2-07-objetos-dados-e-retencao:2.1/3.1";REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
COM-03;Mensagens e idempotência;baseline;"r2-02-execucao-duravel-e-resultados:2.1/3.1;r2-02-execucao-duravel-e-resultados:2.5/3.5";REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
COM-04;Evolução de contratos;baseline;"r2-02-execucao-duravel-e-resultados:2.5/3.5;r2-02-execucao-duravel-e-resultados:2.8/3.8;r2-04-catalogo-produtos-e-contratos:2.5/3.5;r2-09-qualificacao-e-rastreabilidade:2.3/3.3";REVALIDACAO_PENDENTE;;NAO_IMPLEMENTADO
COM-05;Mesmo contrato em GET e webhook;baseline;"r2-02-execucao-duravel-e-resultados:2.8/3.8;r2-03-integracoes-credenciais-e-pressao:2.7/3.7;r2-04-catalogo-produtos-e-contratos:2.5/3.5";REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
COM-06;Contrato do despacho direto;baseline;"r2-02-execucao-duravel-e-resultados:2.3/3.3;r2-02-execucao-duravel-e-resultados:2.4/3.4;r2-02-execucao-duravel-e-resultados:2.7/3.7";REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
CAT-01;Catálogo de serviços;baseline;"r2-04-catalogo-produtos-e-contratos:2.1/3.1;r2-04-catalogo-produtos-e-contratos:2.7/3.7;r2-05-console-administrativo:2.2/3.2;r2-05-console-administrativo:2.4/3.4";REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
CAT-02;Portfólio e disponibilidade;baseline;"r2-04-catalogo-produtos-e-contratos:2.1/3.1;r2-04-catalogo-produtos-e-contratos:2.2/3.2;r2-04-catalogo-produtos-e-contratos:2.7/3.7;r2-05-console-administrativo:2.3/3.3;r2-05-console-administrativo:2.4/3.4";REVALIDACAO_PENDENTE;;NAO_IMPLEMENTADO
CAT-03;Agregação;baseline;"r2-04-catalogo-produtos-e-contratos:2.3/3.3;r2-05-console-administrativo:2.5/3.5";REVALIDACAO_PENDENTE;;NAO_IMPLEMENTADO
CAT-04;Composição;baseline;"r2-04-catalogo-produtos-e-contratos:2.4/3.4;r2-05-console-administrativo:2.5/3.5";REVALIDACAO_PENDENTE;;NAO_IMPLEMENTADO
CAT-05;Consolidação e efeitos;baseline;"r2-04-catalogo-produtos-e-contratos:2.3/3.3;r2-04-catalogo-produtos-e-contratos:2.4/3.4;r2-05-console-administrativo:2.5/3.5";REVALIDACAO_PENDENTE;;NAO_IMPLEMENTADO
CAT-06;Seleção e equivalência de provedores;baseline;"r2-03-integracoes-credenciais-e-pressao:2.1/3.1;r2-03-integracoes-credenciais-e-pressao:2.6/3.6;r2-04-catalogo-produtos-e-contratos:2.2/3.2;r2-05-console-administrativo:2.6/3.6";REVALIDACAO_PENDENTE;;NAO_IMPLEMENTADO
CAT-07;Política comercial do produto;baseline;"r2-05-console-administrativo:2.5/3.5;r2-06-financeiro-auditavel:2.4/3.4";REVALIDACAO_PENDENTE;;NAO_IMPLEMENTADO
CAT-08;Rastreabilidade da composição;baseline;"r2-04-catalogo-produtos-e-contratos:2.3/3.3;r2-04-catalogo-produtos-e-contratos:2.4/3.4;r2-05-console-administrativo:2.5/3.5";REVALIDACAO_PENDENTE;;NAO_IMPLEMENTADO
CAT-09;Contratos técnicos por cliente;baseline;"r2-02-execucao-duravel-e-resultados:2.8/3.8;r2-04-catalogo-produtos-e-contratos:2.5/3.5;r2-05-console-administrativo:2.7/3.7";REVALIDACAO_PENDENTE;;NAO_IMPLEMENTADO
CAT-10;Elegibilidade de SLA e capacidade;baseline;"r2-03-integracoes-credenciais-e-pressao:2.8/3.8;r2-04-catalogo-produtos-e-contratos:2.2/3.2";REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
CAT-11;Crescimento, modalidade e elegibilidade de credencial;baseline;"r2-02-execucao-duravel-e-resultados:2.7/3.7;r2-03-integracoes-credenciais-e-pressao:2.1/3.1;r2-03-integracoes-credenciais-e-pressao:2.2/3.2;r2-04-catalogo-produtos-e-contratos:2.2/3.2;r2-04-catalogo-produtos-e-contratos:2.8/3.8;r2-05-console-administrativo:2.3/3.3";REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
CFG-01;Portal e API administrativa;baseline;"r2-01-identidade-e-isolamento:2.5/3.5;r2-04-catalogo-produtos-e-contratos:2.8/3.8;r2-05-console-administrativo:2.1/3.1;r2-05-console-administrativo:2.2/3.2;r2-05-console-administrativo:2.3/3.3;r2-05-console-administrativo:2.12/3.12";REVALIDACAO_PENDENTE;;PARCIAL_NAO_QUALIFICADO
CFG-02;Publicação governada;baseline;"r2-01-identidade-e-isolamento:2.5/3.5;r2-04-catalogo-produtos-e-contratos:2.1/3.1;r2-04-catalogo-produtos-e-contratos:2.6/3.6;r2-04-catalogo-produtos-e-contratos:2.7/3.7;r2-05-console-administrativo:2.4/3.4";REVALIDACAO_PENDENTE;;NAO_IMPLEMENTADO
CFG-03;Manutenção e diagnóstico;baseline;"r2-01-identidade-e-isolamento:2.3/3.3;r2-03-integracoes-credenciais-e-pressao:2.7/3.7;r2-05-console-administrativo:2.8/3.8;r2-05-console-administrativo:2.9/3.9;r2-05-console-administrativo:2.10/3.10";REVALIDACAO_PENDENTE;;NAO_IMPLEMENTADO
SEG-01;Identidade e autorização;baseline;"r2-01-identidade-e-isolamento:2.1/3.1;r2-01-identidade-e-isolamento:2.2/3.2;r2-01-identidade-e-isolamento:2.5/3.5;r2-05-console-administrativo:2.1/3.1;r2-08-operacao-elastica-e-observavel:2.8/3.8";REVALIDACAO_PENDENTE;;NAO_IMPLEMENTADO
