scenario_key,scenario_id,change,requirement_id,requirement_title,scenario_title,spec,line,source_digest
hub-interoperabilidade-v4:ARQ-01:S001,ARQ-01:S001,hub-interoperabilidade-v4,ARQ-01,Fronteiras,Portal não orquestra nem precifica,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,8,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:ARQ-01:S002,ARQ-01:S002,hub-interoperabilidade-v4,ARQ-01,Fronteiras,Órbita delega execução externa a Cometa sem manter segredos,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,13,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:ARQ-01:S003,ARQ-01:S003,hub-interoperabilidade-v4,ARQ-01,Fronteiras,Libra não infere consumo apenas de logs nem fatura todo evento técnico,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,18,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:ARQ-01:S004,ARQ-01:S004,hub-interoperabilidade-v4,ARQ-01,Fronteiras,Isolamento de adaptador ou temporizador apenas por critério explícito,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,23,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:ARQ-02:S001,ARQ-02:S001,hub-interoperabilidade-v4,ARQ-02,Topologia de referência,SYNC persiste o fato externo via resposta HTTPS sem depender da fila,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,31,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:ARQ-02:S002,ARQ-02:S002,hub-interoperabilidade-v4,ARQ-02,Topologia de referência,ASYNC usa fila e mantém os mesmos invariantes com deduplicação de eventos posteriores,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,36,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:ARQ-02:S003,ARQ-02:S003,hub-interoperabilidade-v4,ARQ-02,Topologia de referência,Cada domínio grava somente seu próprio estado no core compartilhado,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,41,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:ARQ-02:S004,ARQ-02:S004,hub-interoperabilidade-v4,ARQ-02,Topologia de referência,Tráfego estabelecido não consulta Atlas/Crossplane a cada pedido,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,46,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:ARQ-03:S001,ARQ-03:S001,hub-interoperabilidade-v4,ARQ-03,Escolha tecnológica,PostgreSQL é a escolha para o banco transacional por célula,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,54,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:ARQ-03:S002,ARQ-03:S002,hub-interoperabilidade-v4,ARQ-03,Escolha tecnológica,SNS + SQS Standard é a escolha para o barramento sem presumir ordem,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,59,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
hub-interoperabilidade-v4:ARQ-03:S003,ARQ-03:S003,hub-interoperabilidade-v4,ARQ-03,Escolha tecnológica,Cache funciona e cumpre o SLO qualificado sem Redis,openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md,64,363db7fd0613b909c75beaeb9eb7dfe1e3cb52c8f4ecbbbbb697241e381dde9b
