achado_r2;titulo_historico;r3_relacionados;reavaliacao_r4;encerramento
F-01;Identidade do cliente controlada pelo próprio chamador;F-R3-13;"Papel hub_protocol_reader e MFA agora obrigatórios no admin; avanço de autorização constatado. Requalificar política de aplicação/mascaramento e browser sem afirmar bypass corrigido ainda existente.";NAO_QUALIFICADO_INTEGRALMENTE
F-02;APIs internas e administrativas sem identidade de workload;F-R3-13,F-R3-02;"Papel hub_protocol_reader e MFA agora obrigatórios no admin; avanço de autorização constatado. Requalificar política de aplicação/mascaramento e browser sem afirmar bypass corrigido ainda existente. Capability e recibo antes de ACK foram adicionados. Nova inbox tem lacunas de autenticação/deduplicação e recuperador; rota segue sob JWT Hub.";NAO_QUALIFICADO_INTEGRALMENTE
F-03;Callback confirma recebimento sem custódia comprovada;F-R3-02;"Capability e recibo antes de ACK foram adicionados. Nova inbox tem lacunas de autenticação/deduplicação e recuperador; rota segue sob JWT Hub.";NAO_QUALIFICADO_INTEGRALMENTE
F-04;202 após falha de envio de comando, sem retomada de despacho;F-R3-03,F-R3-05;PrepareSubmission/UNKNOWN sem recuperador geral e sem fencing de egress continuam. Inbox não resolve incerteza de SUBMIT. Topologia/outboxes/consumidor financeiro não mudaram. Quarentena financeira continua só hash.;NAO_QUALIFICADO_INTEGRALMENTE
F-05;Consumidores removem mensagens mesmo quando o efeito falha;F-R3-05;Topologia/outboxes/consumidor financeiro não mudaram. Quarentena financeira continua só hash.;NAO_QUALIFICADO_INTEGRALMENTE
F-06;Resultado retornado não é o resultado do provedor;F-R3-01,F-R3-07;"API_KEY agora atravessa modelo/projeção/executor/poller; gate synthetic-provider persiste. Fechar adapter real e homologação. Handler de admissão e finalizer não mudaram; política efetiva/versão e OutputMapping pendentes.";NAO_QUALIFICADO_INTEGRALMENTE
F-07;Concorrência pode disparar mais de uma operação externa;F-R3-03;PrepareSubmission/UNKNOWN sem recuperador geral e sem fencing de egress continuam. Inbox não resolve incerteza de SUBMIT.;NAO_QUALIFICADO_INTEGRALMENTE
F-08;Estado externo e fato são gravados em transações separadas;F-R3-02,F-R3-03;"Capability e recibo antes de ACK foram adicionados. Nova inbox tem lacunas de autenticação/deduplicação e recuperador; rota segue sob JWT Hub. PrepareSubmission/UNKNOWN sem recuperador geral e sem fencing de egress continuam. Inbox não resolve incerteza de SUBMIT.";NAO_QUALIFICADO_INTEGRALMENTE
F-09;Corrida temporal permite sucesso depois do deadline;F-R3-04;"Relógios, exclusividade polling/callback e T-R2-01 permanecem; sem mudança no finalizador.";NAO_QUALIFICADO_INTEGRALMENTE
F-10;TTL de retry configurado não governa execução;F-R3-04;"Relógios, exclusividade polling/callback e T-R2-01 permanecem; sem mudança no finalizador.";NAO_QUALIFICADO_INTEGRALMENTE
