baseline_id;titulo;capability;status_no_snapshot;achados;evidencias;requisitos_r2;changes;cenarios;tarefas;baseline_url;observacao
ARQ-01;Fronteiras;arquitetura-e-comunicacao;PARCIAL_NAO_QUALIFICADO;F-18;"hub/internal/orbita/handlers.go:23;hub/internal/orbita/handlers.go:200;hub/migrations/control/0001_init.sql:5;hub/migrations/control/0003_provider_api_catalog.sql:25";R2-OPE-02;r2-08-operacao-elastica-e-observavel;"R2-OPE-02-S01;R2-OPE-02-S02;R2-OPE-02-S03";r2-08-operacao-elastica-e-observavel:2.2/3.2;https://github.com/leandroclf/ai-hub/blob/a39d394b0d87185ed4cc3861c12ec45f2c302d9e/openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md#L5;Há parte do mecanismo ou artefato, mas cenários/invariantes normativos não estão integralmente comprovados.
ARQ-02;Topologia de referência;arquitetura-e-comunicacao;PARCIAL_NAO_QUALIFICADO;F-14;"hub/cmd/cometa/main.go:43;hub/internal/providerauth/client.go:88;hub/cmd/orbita/main.go:54;hub/internal/atlasclient/client.go:131";"R2-CAT-06;R2-OPE-06";"r2-04-catalogo-produtos-e-contratos;r2-08-operacao-elastica-e-observavel";"R2-CAT-06-S01;R2-CAT-06-S02;R2-CAT-06-S03;R2-OPE-06-S01;R2-OPE-06-S02;R2-OPE-06-S03";"r2-04-catalogo-produtos-e-contratos:2.6/3.6;r2-08-operacao-elastica-e-observavel:2.6/3.6";https://github.com/leandroclf/ai-hub/blob/a39d394b0d87185ed4cc3861c12ec45f2c302d9e/openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md#L28;Há parte do mecanismo ou artefato, mas cenários/invariantes normativos não estão integralmente comprovados.
ARQ-03;Escolha tecnológica;arquitetura-e-comunicacao;PARCIAL_NAO_QUALIFICADO;"F-13;F-34";"hub/internal/providerauth/client.go:57;hub/internal/providerauth/client.go:102;hub/internal/providerauth/client.go:117;hub/internal/queue/queue.go:58;hub/internal/queue/queue.go:126;hub/internal/objectstore/objectstore.go:27;hub/cmd/orbita/main.go:74";R2-INT-03;r2-03-integracoes-credenciais-e-pressao;"R2-INT-03-S01;R2-INT-03-S02;R2-INT-03-S03";r2-03-integracoes-credenciais-e-pressao:2.3/3.3;https://github.com/leandroclf/ai-hub/blob/a39d394b0d87185ed4cc3861c12ec45f2c302d9e/openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md#L51;Há parte do mecanismo ou artefato, mas cenários/invariantes normativos não estão integralmente comprovados.
ARQ-04;Linguagem e tecnologia por aplicação;arquitetura-e-comunicacao;ESCOLHA_CONSTATADA;F-40;"hub/go.mod:3;hub/deploy/Dockerfile:5;hub/deploy/terraform/variables.tf:121;hub/admin-ui/package.json:6;hub/api/asyncapi.yaml:83";R2-QUA-04;r2-09-qualificacao-e-rastreabilidade;"R2-QUA-04-S01;R2-QUA-04-S02;R2-QUA-04-S03";r2-09-qualificacao-e-rastreabilidade:2.4/3.4;https://github.com/leandroclf/ai-hub/blob/a39d394b0d87185ed4cc3861c12ec45f2c302d9e/openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md#L74;"Go e TypeScript/React constatados; desempenho e suporte operacional exigem qualificação."
ARQ-05;Razões das dependências e revisão de alternativas;arquitetura-e-comunicacao;PARCIAL_NAO_QUALIFICADO;"F-34;F-40";"hub/internal/queue/queue.go:58;hub/internal/queue/queue.go:126;hub/internal/objectstore/objectstore.go:27;hub/cmd/orbita/main.go:74;hub/go.mod:3;hub/deploy/Dockerfile:5;hub/deploy/terraform/variables.tf:121;hub/admin-ui/package.json:6;hub/api/asyncapi.yaml:83";R2-OPE-08;r2-08-operacao-elastica-e-observavel;"R2-OPE-08-S01;R2-OPE-08-S02;R2-OPE-08-S03";r2-08-operacao-elastica-e-observavel:2.8/3.8;https://github.com/leandroclf/ai-hub/blob/a39d394b0d87185ed4cc3861c12ec45f2c302d9e/openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md#L97;Há parte do mecanismo ou artefato, mas cenários/invariantes normativos não estão integralmente comprovados.
ARQ-06;Tecnologias para expansão e continuidade;arquitetura-e-comunicacao;PARCIAL_NAO_QUALIFICADO;"F-32;F-33";"hub/deploy/k8s/README.md:3;hub/deploy/k8s/kustomization.yaml:16;hub/deploy/k8s/cometa.yaml:8;hub/deploy/k8s/orbita.yaml:86;hub/migrations/control/0001_init.sql:62;hub/deploy/terraform/main.tf:517;hub/deploy/terraform/crossplane/composition.yaml:272;hub/deploy/terraform/main.tf:736";"R2-OPE-02;R2-OPE-04;R2-OPE-05";r2-08-operacao-elastica-e-observavel;"R2-OPE-02-S01;R2-OPE-02-S02;R2-OPE-02-S03;R2-OPE-04-S01;R2-OPE-04-S02;R2-OPE-04-S03;R2-OPE-05-S01;R2-OPE-05-S02;R2-OPE-05-S03";"r2-08-operacao-elastica-e-observavel:2.2/3.2;r2-08-operacao-elastica-e-observavel:2.4/3.4;r2-08-operacao-elastica-e-observavel:2.5/3.5";https://github.com/leandroclf/ai-hub/blob/a39d394b0d87185ed4cc3861c12ec45f2c302d9e/openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md#L120;Há parte do mecanismo ou artefato, mas cenários/invariantes normativos não estão integralmente comprovados.
COM-01;Comunicação interna definida;arquitetura-e-comunicacao;PARCIAL_NAO_QUALIFICADO;"F-02;F-07";"hub/internal/orbita/handlers.go:53;hub/cmd/orbita/main.go:119;hub/internal/atlas/handlers.go:24;hub/deploy/docker-compose.yml:57;hub/internal/cometa/store.go:32;hub/internal/cometa/executor.go:100;hub/internal/cometa/store.go:85;hub/internal/dispatch/contract.go:40";R2-EXE-07;r2-02-execucao-duravel-e-resultados;"R2-EXE-07-S01;R2-EXE-07-S02;R2-EXE-07-S03;R2-EXE-07-S04";r2-02-execucao-duravel-e-resultados:2.7/3.7;https://github.com/leandroclf/ai-hub/blob/a39d394b0d87185ed4cc3861c12ec45f2c302d9e/openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md#L143;Há parte do mecanismo ou artefato, mas cenários/invariantes normativos não estão integralmente comprovados.
COM-02;Integração de clientes e provedores;arquitetura-e-comunicacao;PARCIAL_NAO_QUALIFICADO;"F-13;F-19;F-29;F-41";"hub/internal/providerauth/client.go:57;hub/internal/providerauth/client.go:102;hub/internal/providerauth/client.go:117;hub/deploy/import_hiveplace_collection.sh:38;hub/deploy/import_hiveplace_collection.sh:58;hub/internal/cometa/executor.go:120;hub/migrations/control/0003_provider_api_catalog.sql:4;hub/internal/objectstore/objectstore.go:43;hub/internal/objectstore/objectstore.go:56;hub/internal/objectstore/objectstore.go:79;hub/internal/orbita/handlers.go:114;hub/internal/atlas/handlers.go:100;hub/internal/pulsar/handlers.go:24;hub/internal/pulsar/worker.go:80;hub/internal/cometa/executor.go:135";"R2-SEG-04;R2-INT-01;R2-CAT-05;R2-CAT-07;R2-ADM-04;R2-DAD-01";"r2-01-identidade-e-isolamento;r2-03-integracoes-credenciais-e-pressao;r2-04-catalogo-produtos-e-contratos;r2-05-console-administrativo;r2-07-objetos-dados-e-retencao";"R2-SEG-04-S01;R2-SEG-04-S02;R2-SEG-04-S03;R2-INT-01-S01;R2-INT-01-S02;R2-INT-01-S03;R2-CAT-05-S01;R2-CAT-05-S02;R2-CAT-05-S03;R2-CAT-07-S01;R2-CAT-07-S02;R2-CAT-07-S03;R2-ADM-04-S01;R2-ADM-04-S02;R2-ADM-04-S03;R2-DAD-01-S01;R2-DAD-01-S02;R2-DAD-01-S03";"r2-01-identidade-e-isolamento:2.4/3.4;r2-03-integracoes-credenciais-e-pressao:2.1/3.1;r2-04-catalogo-produtos-e-contratos:2.5/3.5;r2-04-catalogo-produtos-e-contratos:2.7/3.7;r2-05-console-administrativo:2.4/3.4;r2-07-objetos-dados-e-retencao:2.1/3.1";https://github.com/leandroclf/ai-hub/blob/a39d394b0d87185ed4cc3861c12ec45f2c302d9e/openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md#L166;Há parte do mecanismo ou artefato, mas cenários/invariantes normativos não estão integralmente comprovados.
COM-03;Mensagens e idempotência;arquitetura-e-comunicacao;PARCIAL_NAO_QUALIFICADO;"F-03;F-04;F-05;F-08";"hub/internal/cometa/handlers.go:73;hub/internal/cometa/executor.go:267;hub/internal/orbita/handlers.go:178;hub/internal/orbita/handlers.go:213;hub/internal/orbita/dispatcher.go:78;hub/internal/orbita/store.go:74;hub/internal/cometa/worker.go:34;hub/internal/orbita/factconsumer.go:51;hub/internal/pulsar/consumer.go:38;hub/internal/libra/consumers.go:45;hub/internal/cometa/executor.go:192;hub/internal/cometa/executor.go:219";"R2-EXE-01;R2-EXE-05";r2-02-execucao-duravel-e-resultados;"R2-EXE-01-S01;R2-EXE-01-S02;R2-EXE-01-S03;R2-EXE-05-S01;R2-EXE-05-S02;R2-EXE-05-S03";"r2-02-execucao-duravel-e-resultados:2.1/3.1;r2-02-execucao-duravel-e-resultados:2.5/3.5";https://github.com/leandroclf/ai-hub/blob/a39d394b0d87185ed4cc3861c12ec45f2c302d9e/openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md#L189;Há parte do mecanismo ou artefato, mas cenários/invariantes normativos não estão integralmente comprovados.
COM-04;Evolução de contratos;arquitetura-e-comunicacao;NAO_IMPLEMENTADO;"F-18;F-28;F-40";"hub/internal/orbita/handlers.go:23;hub/internal/orbita/handlers.go:200;hub/migrations/control/0001_init.sql:5;hub/migrations/control/0003_provider_api_catalog.sql:25;hub/internal/orbita/finalize.go:49;hub/internal/orbita/handlers.go:303;hub/test/e2e/e2e_test.go:163;hub/go.mod:3;hub/deploy/Dockerfile:5;hub/deploy/terraform/variables.tf:121;hub/admin-ui/package.json:6;hub/api/asyncapi.yaml:83";"R2-EXE-05;R2-EXE-08;R2-CAT-05;R2-QUA-03";"r2-02-execucao-duravel-e-resultados;r2-04-catalogo-produtos-e-contratos;r2-09-qualificacao-e-rastreabilidade";"R2-EXE-05-S01;R2-EXE-05-S02;R2-EXE-05-S03;R2-EXE-08-S01;R2-EXE-08-S02;R2-EXE-08-S03;R2-CAT-05-S01;R2-CAT-05-S02;R2-CAT-05-S03;R2-QUA-03-S01;R2-QUA-03-S02;R2-QUA-03-S03";"r2-02-execucao-duravel-e-resultados:2.5/3.5;r2-02-execucao-duravel-e-resultados:2.8/3.8;r2-04-catalogo-produtos-e-contratos:2.5/3.5;r2-09-qualificacao-e-rastreabilidade:2.3/3.3";https://github.com/leandroclf/ai-hub/blob/a39d394b0d87185ed4cc3861c12ec45f2c302d9e/openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md#L212;"Obrigação não implementada no escopo normativo; modelos/comentários isolados não a satisfazem."
