cenario;requisito;change;nome;given;when;then;status;tarefa_implementacao;tarefa_prova
R2-SEG-01-S01;R2-SEG-01;r2-01-identidade-e-isolamento;Cliente autorizado;token válido de A e oferta de A;A admite e consulta seu protocolo;o Hub autoriza somente a aplicação e os recursos concedidos;NAO_EXECUTADO_NESTA_ENTREGA;2.1;3.1
R2-SEG-01-S02;R2-SEG-01;r2-01-identidade-e-isolamento;Tentativa entre tenants;token de A e protocolo de B;A altera X-Tenant-Id, tenant_id, filtros ou cursor para B;o Hub não retorna dados de B e registra a negação sem revelar sua existência;NAO_EXECUTADO_NESTA_ENTREGA;2.1;3.1
R2-SEG-01-S03;R2-SEG-01;r2-01-identidade-e-isolamento;Token inválido;token expirado, emissor ou audience incorretos;uma API pública ou administrativa é chamada;"o Hub responde 401 antes de qualquer efeito; token válido sem escopo recebe 403";NAO_EXECUTADO_NESTA_ENTREGA;2.1;3.1
R2-SEG-02-S01;R2-SEG-02;r2-01-identidade-e-isolamento;Chamada interna permitida;Órbita autenticada com escopo de despacho da célula A;chama Cometa na mesma célula;Cometa valida identidade e contexto antes de aceitar comando;NAO_EXECUTADO_NESTA_ENTREGA;2.2;3.2
R2-SEG-02-S02;R2-SEG-02;r2-01-identidade-e-isolamento;Bypass pela porta interna;cliente ou workload sem escopo conhece rota internal;tenta ler protocolos ou reservar saldo;a ação é negada mesmo dentro da rede do cluster;NAO_EXECUTADO_NESTA_ENTREGA;2.2;3.2
R2-SEG-02-S03;R2-SEG-02;r2-01-identidade-e-isolamento;Pool reutilizado;conexão anteriormente usada por A é devolvida ao pool;a aplicação atende B nessa conexão;políticas e contexto transacional impedem acesso residual a A;NAO_EXECUTADO_NESTA_ENTREGA;2.2;3.2
R2-SEG-03-S01;R2-SEG-03;r2-01-identidade-e-isolamento;Diagnóstico de desenvolvedor;usuário individual com MFA e hub_protocol_reader;informa protocolo e justificativa na consulta administrativa;recebe visão permitida e mascarada com auditoria de autor, tenant, finalidade e horário;NAO_EXECUTADO_NESTA_ENTREGA;2.3;3.3
R2-SEG-03-S02;R2-SEG-03;r2-01-identidade-e-isolamento;Sem elevação implícita;usuário só com hub_protocol_reader;tenta publicar contrato, replay ou consultar segredo;o servidor nega a ação e o console não oferece permissão de escrita;NAO_EXECUTADO_NESTA_ENTREGA;2.3;3.3
R2-SEG-03-S03;R2-SEG-03;r2-01-identidade-e-isolamento;Auditoria indisponível;leitura administrativa de dados sensíveis exige auditoria durável;a trilha não pode ser registrada;essa leitura é negada de forma controlada sem interromper consultas públicas elegíveis;NAO_EXECUTADO_NESTA_ENTREGA;2.3;3.3
R2-SEG-04-S01;R2-SEG-04;r2-01-identidade-e-isolamento;Destino homologado;endpoint HTTPS no perfil autorizado;é validado e utilizado;TLS e destino efetivo são verificados e a política aplicada fica rastreável;NAO_EXECUTADO_NESTA_ENTREGA;2.4;3.4
R2-SEG-04-S02;R2-SEG-04;r2-01-identidade-e-isolamento;SSRF e rebinding;URL aponta ou passa a resolver para rede não autorizada/metadados;o envio é tentado ou redirecionado;o Hub bloqueia antes da conexão não permitida e não expõe segredo;NAO_EXECUTADO_NESTA_ENTREGA;2.4;3.4
R2-SEG-04-S03;R2-SEG-04;r2-01-identidade-e-isolamento;Rede privada legítima;provedor privado tem perfil de rede autorizado;o conector o acessa;a permissão é limitada ao destino/porta/identidade aprovados, sem exceção global a redes privadas;NAO_EXECUTADO_NESTA_ENTREGA;2.4;3.4
R2-SEG-05-S01;R2-SEG-05;r2-01-identidade-e-isolamento;Alteração atribuível;editor autorizado publica versão validada;a alteração é confirmada;a trilha permite identificar autor, diff mascarado e versão publicada;NAO_EXECUTADO_NESTA_ENTREGA;2.5;3.5
R2-SEG-05-S02;R2-SEG-05;r2-01-identidade-e-isolamento;Sessão termina;página tem dados sensíveis carregados;sessão expira, usuário sai ou identidade muda;dados são removidos do estado da UI e novas ações exigem autenticação;NAO_EXECUTADO_NESTA_ENTREGA;2.5;3.5
R2-SEG-05-S03;R2-SEG-05;r2-01-identidade-e-isolamento;Falha de backend;banco ou cofre retorna detalhe interno;UI recebe erro;a resposta contém código tratável e correlação, sem DSN, token, stack ou segredo;NAO_EXECUTADO_NESTA_ENTREGA;2.5;3.5
R2-EXE-01-S01;R2-EXE-01;r2-02-execucao-duravel-e-resultados;Crash após aceite;intenção e protocolo foram confirmados mas broker ainda não recebeu;o processo reinicia;a obrigação é recuperada e executada conforme prazo, sem novo pedido do cliente;NAO_EXECUTADO_NESTA_ENTREGA;2.1;3.1
R2-EXE-01-S02;R2-EXE-01;r2-02-execucao-duravel-e-resultados;Broker indisponível;writer e capacidade de backlog estão elegíveis;é admitido ASYNC durante falha temporária do broker;"202 só ocorre com intenção recuperável; ao alcançar limite de capacidade, novas admissões são recusadas explicitamente";NAO_EXECUTADO_NESTA_ENTREGA;2.1;3.1
R2-EXE-01-S03;R2-EXE-01;r2-02-execucao-duravel-e-resultados;Commit incerto;conexão cai durante commit do aceite;o cliente repete a mesma chave;o Hub resolve pela autoridade de idempotência, sem afirmar não execução nem criar outro efeito;NAO_EXECUTADO_NESTA_ENTREGA;2.1;3.1
R2-EXE-02-S01;R2-EXE-02;r2-02-execucao-duravel-e-resultados;Concorrência real;duas conexões enviam mesma chave e conteúdo simultaneamente;ambas disputam unicidade;"as respostas identificam um único protocolo; conflito SQL não vira segunda execução nem 503 indevido";NAO_EXECUTADO_NESTA_ENTREGA;2.2;3.2
R2-EXE-02-S02;R2-EXE-02;r2-02-execucao-duravel-e-resultados;Chave divergente;uma chave já possui aceite;chega conteúdo semanticamente diferente;409 identifica conflito sem substituir conteúdo anterior nem revelar dados de outro tenant;NAO_EXECUTADO_NESTA_ENTREGA;2.2;3.2
R2-EXE-02-S03;R2-EXE-02;r2-02-execucao-duravel-e-resultados;Erro após aceite;protocolo foi conservado;reserva, transporte SYNC ou finalização falha;"o erro expõe UUID e consulta quando o aceite é conhecido; retry usa a mesma chave";NAO_EXECUTADO_NESTA_ENTREGA;2.2;3.2
R2-EXE-03-S01;R2-EXE-03;r2-02-execucao-duravel-e-resultados;Dois executores;fila e DIRECT/recuperação apresentam mesmo command_id;dois pods tentam executar;"apenas o dono válido envia; outro consulta a operação durável";NAO_EXECUTADO_NESTA_ENTREGA;2.3;3.3
R2-EXE-03-S02;R2-EXE-03;r2-02-execucao-duravel-e-resultados;Crash após envio;provedor pode ter executado, mas resposta não foi conservada;worker morre e lease expira;"operação fica UNKNOWN para reconciliação; não há novo submit nem failover cego";NAO_EXECUTADO_NESTA_ENTREGA;2.3;3.3
R2-EXE-03-S03;R2-EXE-03;r2-02-execucao-duravel-e-resultados;Fencing antigo;executor antigo volta após takeover;tenta gravar estado ou enviar usando epoch vencido;"sua ação é rejeitada; lease expirada não prova ausência de efeito já enviado";NAO_EXECUTADO_NESTA_ENTREGA;2.3;3.3
R2-EXE-04-S01;R2-EXE-04;r2-02-execucao-duravel-e-resultados;Conteúdo real;entrada contém input_marker e provedor devolve result_marker diferente;operação termina em SYNC ou ASYNC;resultado contém result_marker e não substitui a resposta pelo input;NAO_EXECUTADO_NESTA_ENTREGA;2.4;3.4
R2-EXE-04-S02;R2-EXE-04;r2-02-execucao-duravel-e-resultados;Resposta inválida;provedor devolve 200 com corpo vazio, estado desconhecido ou schema inválido;Cometa valida a observação;"não publica SUCCEEDED; registra erro de contrato e evidência permitida para reconciliação";NAO_EXECUTADO_NESTA_ENTREGA;2.4;3.4
R2-EXE-04-S03;R2-EXE-04;r2-02-execucao-duravel-e-resultados;Commit falha;resposta externa válida foi recebida;persistência de estado, corpo ou outbox falha;"Cometa não declara fato durável; mantém obrigação recuperável e sem novo submit automático";NAO_EXECUTADO_NESTA_ENTREGA;2.4;3.4
R2-EXE-05-S01;R2-EXE-05;r2-02-execucao-duravel-e-resultados;Efeito falha;Órbita, Cometa, Pulsar ou Libra não consegue confirmar seu efeito;recebe uma mensagem válida;"não remove a mensagem; retry posterior conclui o efeito uma vez";NAO_EXECUTADO_NESTA_ENTREGA;2.5;3.5
R2-EXE-05-S02;R2-EXE-05;r2-02-execucao-duravel-e-resultados;Reentrega após commit;commit concluiu, ACK se perdeu;broker entrega novamente event_id;inbox reconhece efeito confirmado e ACK não duplica operação, delivery ou lançamento;NAO_EXECUTADO_NESTA_ENTREGA;2.5;3.5
R2-EXE-05-S03;R2-EXE-05;r2-02-execucao-duravel-e-resultados;Schema desconhecido;evento não é compatível com consumidor;o evento chega;"original sanitizado e metadados ficam em quarentena; alerta e replay autorizado preservam a identidade de origem";NAO_EXECUTADO_NESTA_ENTREGA;2.5;3.5
R2-EXE-06-S01;R2-EXE-06;r2-02-execucao-duravel-e-resultados;Timer atrasado;timer está pausado e o deadline já passou;chega final tecnicamente bem-sucedido;o Hub não publica sucesso e materializa/recupera encerramento por SLA com recibo tardio;NAO_EXECUTADO_NESTA_ENTREGA;2.6;3.6
R2-EXE-06-S02;R2-EXE-06;r2-02-execucao-duravel-e-resultados;Commit cruza o limite;transação começou antes do deadline e sua confirmação durável termina depois;o Hub arbitra final versus expiração;"o início antecipado não torna sucesso elegível; evento de sucesso não escapa pelo relay";NAO_EXECUTADO_NESTA_ENTREGA;2.6;3.6
R2-EXE-06-S03;R2-EXE-06;r2-02-execucao-duravel-e-resultados;Final e expiração concorrentes;callback, polling e timer disputam o protocolo;a confirmação ocorre antes, na igualdade ou depois do prazo em execuções separadas;há exatamente um terminal contratual por execução e todas as observações são preservadas;NAO_EXECUTADO_NESTA_ENTREGA;2.6;3.6
R2-EXE-06-S04;R2-EXE-06;r2-02-execucao-duravel-e-resultados;Resultado tardio custoso;protocolo EXPIRED possui compra por execução externa;provedor confirma final depois do prazo;"GET e webhook conservam o erro final; Libra considera apenas o custo elegível e a contestação";NAO_EXECUTADO_NESTA_ENTREGA;2.6;3.6
R2-EXE-07-S01;R2-EXE-07;r2-02-execucao-duravel-e-resultados;SYNC com broker parado;oferta SYNC homologada e dependências autoritativas disponíveis;cliente solicita SYNC durante falha de broker;"recebe final durável na mesma conexão; fatos posteriores ficam na outbox";NAO_EXECUTADO_NESTA_ENTREGA;2.7;3.7
R2-EXE-07-S02;R2-EXE-07;r2-02-execucao-duravel-e-resultados;Natureza incompatível;provedor só conclui assincronamente e oferta não qualifica SYNC;cliente solicita SYNC;admissão é recusada com motivo antes de efeito, sem escolher ASYNC por conta própria;NAO_EXECUTADO_NESTA_ENTREGA;2.7;3.7
